iShares CMBS ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Feb 14, 2012"
Shares Outstanding,"8,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"UBSCM_17-C2 A4","Fixed Income","0.25","108.20","1,084,589.25","1,084,589.25","Non-Agency CMBS","-","US90276CAE12","3.49","Aug 15, 2050","2.24","2.24","6.32","1,000,000.00"
"JPMCC_17-JP7 A5","Fixed Income","0.25","108.18","1,084,383.50","1,084,383.50","Non-Agency CMBS","-","US465968AE58","3.45","Sep 15, 2050","2.22","2.22","6.38","1,000,000.00"
"CFCRE_17-C8 A4","Fixed Income","0.25","108.15","1,084,194.93","1,084,194.93","Non-Agency CMBS","-","US12532CBA27","3.57","Jun 15, 2050","2.28","2.28","6.01","1,000,000.00"
"WFCM_15-SG1 A4","Fixed Income","0.25","108.08","1,083,609.75","1,083,609.75","Non-Agency CMBS","BYXX8X2","US94989QAV23","3.79","Sep 15, 2048","2.06","2.06","4.54","1,000,000.00"
"FHMS_K068 A2","Fixed Income","0.25","108.11","1,083,492.00","1,083,492.00","Agency CMBS","-","US3137FBBX34","3.24","Aug 25, 2027","2.01","2.01","6.42","1,000,000.00"
"WFCM_17-C38 A5","Fixed Income","0.25","108.04","1,083,013.75","1,083,013.75","Non-Agency CMBS","-","US95001MAF77","3.45","Jul 15, 2050","2.22","2.22","6.31","1,000,000.00"
"CSAIL_17-CX9 A5","Fixed Income","0.25","107.93","1,081,913.20","1,081,913.20","Non-Agency CMBS","-","US12595FAE25","3.45","Sep 15, 2050","2.23","2.23","6.29","1,000,000.00"
"COMM_13-CR13 A4","Fixed Income","0.25","107.80","1,081,155.50","1,081,155.50","Non-Agency CMBS","-","US12630BBA52","4.19","Nov 12, 2046","1.91","1.91","3.31","1,000,000.00"
"MSBAM_14-C15 A4","Fixed Income","0.25","107.58","1,078,843.25","1,078,843.25","Non-Agency CMBS","-","US61763KBA16","4.05","Apr 15, 2047","1.91","1.91","3.45","1,000,000.00"
"FHMS_K731 A2","Fixed Income","0.25","107.48","1,077,538.00","1,077,538.00","Agency CMBS","-","US3137F4WZ18","3.60","Feb 25, 2025","1.86","1.86","4.24","1,000,000.00"
"MSC_19-H7 A4","Fixed Income","0.25","107.32","1,075,652.75","1,075,652.75","Non-Agency CMBS","-","US61771MAW01","3.26","Jul 15, 2052","2.37","2.37","7.90","1,000,000.00"
"MSBAM_15-C26 A5","Fixed Income","0.25","107.26","1,075,286.25","1,075,286.25","Non-Agency CMBS","-","US61690VAZ13","3.53","Oct 15, 2048","2.06","2.06","4.79","1,000,000.00"
"CSAIL_15-C4 A3","Fixed Income","0.25","107.16","1,074,304.85","1,074,304.85","Non-Agency CMBS","-","US12635RAW88","3.54","Nov 15, 2048","1.98","1.98","4.48","1,000,000.00"
"FNMA_18-M1 A2","Fixed Income","0.25","106.92","1,071,520.75","1,071,520.75","Agency CMBS","-","US3136AY7L11","3.09","Dec 25, 2027","2.04","2.04","6.88","1,000,000.00"
"BANK_17-BNK8 A3","Fixed Income","0.25","106.85","1,070,939.75","1,070,939.75","Non-Agency CMBS","-","US06650AAD90","3.23","Nov 15, 2050","2.19","2.19","6.42","1,000,000.00"
"MSBAM_13-C10 A4","Fixed Income","0.25","106.64","1,069,520.62","1,069,520.62","Non-Agency CMBS","-","US61762MBW01","4.22","Jul 15, 2046","1.90","1.90","2.92","1,000,000.00"
"FHMS_15-K048 A2","Fixed Income","0.25","106.62","1,068,647.00","1,068,647.00","Agency CMBS","BYSPNZ0","US3137BLAC24","3.28","Jun 25, 2025","1.86","1.86","4.62","1,000,000.00"
"MSBAM_16-C29 A4","Fixed Income","0.25","106.45","1,067,008.75","1,067,008.75","Non-Agency CMBS","BYYXN36","US61766EBE41","3.33","May 15, 2049","2.14","2.14","5.29","1,000,000.00"
"MSBAM_13-C9 AAB","Fixed Income","0.25","101.04","1,066,942.74","1,066,942.74","Non-Agency CMBS","-","US61762DAU54","2.66","May 15, 2046","1.91","1.91","1.51","1,053,888.00"
"DBJPM_16-C1 A4","Fixed Income","0.25","106.38","1,066,249.00","1,066,249.00","Non-Agency CMBS","-","US23312LAS79","3.28","May 10, 2049","2.11","2.11","5.30","1,000,000.00"
"UBSCM_18-C12 A2","Fixed Income","0.25","106.25","1,065,653.93","1,065,653.93","Non-Agency CMBS","-","US90353DAV73","4.15","Aug 15, 2051","2.16","2.16","3.09","1,000,000.00"
"FHMS_KS03 A4","Fixed Income","0.25","105.93","1,061,707.75","1,061,707.75","Agency CMBS","-","US3137BLMD78","3.16","May 25, 2025","1.80","1.80","4.35","1,000,000.00"
"FHMS_K049 A2","Fixed Income","0.25","105.90","1,061,226.50","1,061,226.50","Agency CMBS","-","US3137BLMZ80","3.01","Jul 25, 2025","1.77","1.77","4.74","1,000,000.00"
"JPMDB_18-C8 A2","Fixed Income","0.25","105.73","1,060,350.95","1,060,350.95","Non-Agency CMBS","-","US46591AAX37","4.03","Jun 15, 2051","2.16","2.16","3.04","1,000,000.00"
"FNMA_17-M2 A2","Fixed Income","0.24","105.58","1,057,963.70","1,057,963.70","Agency CMBS","-","US3136AVKR90","2.89","Feb 25, 2027","1.95","1.95","6.17","1,000,000.00"
"JPMDB_16-C2 A4","Fixed Income","0.24","105.53","1,057,692.93","1,057,692.93","Non-Agency CMBS","-","US46590LAT98","3.14","Jun 15, 2049","2.13","2.13","5.37","1,000,000.00"
"BACM_17-BNK3 ASB","Fixed Income","0.24","105.44","1,056,897.50","1,056,897.50","Non-Agency CMBS","-","US06427DAQ60","3.37","Feb 15, 2050","2.03","2.03","4.02","1,000,000.00"
"FHMS_K074 A1","Fixed Income","0.24","108.03","1,055,772.77","1,055,772.77","Agency CMBS","-","-","3.60","Sep 25, 2027","1.65","1.65","4.07","974,820.00"
"FHMS-K729 A-2","Fixed Income","0.24","105.22","1,054,568.00","1,054,568.00","Agency CMBS","-","US3137FCM432","3.14","Oct 25, 2024","1.85","1.85","4.08","1,000,000.00"
"FHMS_K043 A2","Fixed Income","0.24","105.21","1,054,437.50","1,054,437.50","Agency CMBS","-","US3137BGK246","3.06","Dec 25, 2024","1.84","1.84","4.25","1,000,000.00"
"FHMS_K728 A2","Fixed Income","0.24","105.15","1,053,765.00","1,053,765.00","Agency CMBS","-","US3137FBTA49","3.06","Aug 25, 2024","1.77","1.77","3.91","1,000,000.00"
"GSMS_17-GS7 AAB","Fixed Income","0.24","105.11","1,053,502.25","1,053,502.25","Non-Agency CMBS","-","US36254CAW01","3.20","Aug 12, 2050","2.13","2.13","4.51","1,000,000.00"
"WFCM_16-C34 A4","Fixed Income","0.24","105.02","1,052,520.00","1,052,520.00","Non-Agency CMBS","-","US95000DBD21","3.10","Jun 15, 2049","2.18","2.18","5.39","1,000,000.00"
"FHLMC_13-K034 A2","Fixed Income","0.24","104.96","1,052,199.25","1,052,199.25","Agency CMBS","BDHDKD5","US3137B5JM67","3.53","Jul 25, 2023","1.88","1.88","3.04","1,000,000.00"
"FHMS_K100 A2","Fixed Income","0.24","104.94","1,051,434.75","1,051,434.75","Agency CMBS","-","US3137FQ3A94","2.67","Sep 25, 2029","2.08","2.08","8.24","1,000,000.00"
"BNK_19-B19 A2","Fixed Income","0.24","104.89","1,051,108.50","1,051,108.50","Non-Agency CMBS","-","US06540WBC64","2.93","Aug 15, 2061","2.30","2.30","7.58","1,000,000.00"
"COMM_16-DC2 ASB","Fixed Income","0.24","104.84","1,051,023.50","1,051,023.50","Non-Agency CMBS","-","US12594CBD11","3.55","Feb 10, 2049","2.03","2.03","3.14","1,000,000.00"
"FHMS_K035 A2","Fixed Income","0.24","104.77","1,050,284.50","1,050,284.50","Agency CMBS","-","US3137B5KW21","3.46","Aug 25, 2023","1.89","1.89","3.07","1,000,000.00"
"COMM_19-GC44 A5","Fixed Income","0.24","104.79","1,050,136.50","1,050,136.50","Non-Agency CMBS","-","US12655TBM09","2.95","Aug 15, 2057","2.39","2.39","8.40","1,000,000.00"
"COMM_15-CR25 ASB","Fixed Income","0.24","104.67","1,049,332.75","1,049,332.75","Non-Agency CMBS","-","US12593PAU66","3.54","Aug 10, 2048","1.94","1.94","2.90","1,000,000.00"
"SGCMS_16-C5 A4","Fixed Income","0.24","104.63","1,048,563.25","1,048,563.25","Non-Agency CMBS","-","US78419CAD65","3.06","Oct 10, 2048","2.24","2.24","5.53","1,000,000.00"
"CGCMT_19-GC41 A5","Fixed Income","0.24","104.52","1,047,361.53","1,047,361.53","Non-Agency CMBS","-","US17328FAW59","2.87","Aug 10, 2056","2.32","2.32","8.02","1,000,000.00"
"CGCMT_16-P5 A4","Fixed Income","0.24","104.48","1,047,017.75","1,047,017.75","Non-Agency CMBS","-","US17325DAD57","2.94","Oct 10, 2049","2.19","2.19","5.79","1,000,000.00"
"FNMA_15-M13 A2","Fixed Income","0.24","104.30","1,045,080.00","1,045,080.00","Agency CMBS","-","US3136AQHL72","2.80","Jun 25, 2025","1.86","1.86","4.87","1,000,000.00"
"FHMS_19-K-1513 A3","Fixed Income","0.24","104.27","1,044,824.75","1,044,824.75","Agency CMBS","-","US3137FPJ976","2.80","Aug 25, 2034","2.44","2.44","11.62","1,000,000.00"
"FHMS_13-K031 A2","Fixed Income","0.24","104.07","1,043,159.00","1,043,159.00","Agency CMBS","BDHDK91","US3137B3NX29","3.30","Apr 25, 2023","1.85","1.85","2.87","1,000,000.00"
"FHLMC_13-K033 A2","Fixed Income","0.24","103.99","1,042,228.00","1,042,228.00","Agency CMBS","BH7R637","US3137B4WB80","3.06","Jul 25, 2023","1.71","1.71","3.02","1,000,000.00"
"CGCMT_16-C2 A4","Fixed Income","0.24","103.97","1,041,796.00","1,041,796.00","Non-Agency CMBS","-","US17291CBR51","2.83","Aug 10, 2049","2.15","2.15","5.68","1,000,000.00"
"FHLMC_K029 A2","Fixed Income","0.24","103.83","1,040,744.00","1,040,744.00","Agency CMBS","BCB7PC0","US3137B36J22","3.32","Feb 25, 2023","1.84","1.84","2.66","1,000,000.00"
"FHMS_K725 A2","Fixed Income","0.24","103.79","1,040,189.50","1,040,189.50","Agency CMBS","BDHXPD0","US3137BWWD24","3.00","Jan 25, 2024","1.89","1.89","3.47","1,000,000.00"
"FHMS_K030 A2","Fixed Income","0.24","103.77","1,040,116.50","1,040,116.50","Agency CMBS","-","US3137B3NA26","3.25","Apr 25, 2023","1.85","1.85","2.77","1,000,000.00"
"BANK_19-BN21 B","Fixed Income","0.24","103.71","1,039,475.50","1,039,475.50","Non-Agency CMBS","-","US06540BBH15","3.21","Oct 17, 2052","2.78","2.78","8.33","1,000,000.00"
"FNMA_19-M9 A2","Fixed Income","0.24","106.15","1,031,834.35","1,031,834.35","Agency CMBS","-","US3136B4VT26","2.94","Jun 25, 2029","2.17","2.17","7.85","970,000.00"
"FNMA_17-M15 AV2","Fixed Income","0.24","102.88","1,030,836.25","1,030,836.25","Agency CMBS","-","US3136AY6S72","2.72","Nov 25, 2024","1.98","1.98","4.28","1,000,000.00"
"MSBAM_15-C24 A4","Fixed Income","0.24","108.11","1,029,724.95","1,029,724.95","Non-Agency CMBS","BYXB1Z9","US61765LAU44","3.73","May 15, 2048","2.07","2.07","4.72","950,000.00"
"FHMS_K721 A2","Fixed Income","0.24","102.55","1,027,851.50","1,027,851.50","Agency CMBS","BYPHMN0","US3137BM6P68","3.09","Aug 25, 2022","1.75","1.75","2.01","1,000,000.00"
"MSBAM 2015-C20 A4","Fixed Income","0.24","105.24","1,026,436.19","1,026,436.19","Non-Agency CMBS","-","US61764RBF47","3.25","Feb 15, 2048","2.03","2.03","4.25","973,000.00"
"FHLMC_K027 A2","Fixed Income","0.24","102.27","1,024,667.75","1,024,667.75","Agency CMBS","-","US3137B1UG56","2.64","Jan 25, 2023","1.71","1.71","2.58","1,000,000.00"
"FNMA_14-M3 A2","Fixed Income","0.24","105.56","1,022,668.19","1,022,668.19","Agency CMBS","-","US3136AJLC84","3.50","Jan 25, 2024","1.90","1.90","3.52","966,357.00"
"COMM_14-LC15 A4","Fixed Income","0.24","107.48","1,018,495.01","1,018,495.01","Non-Agency CMBS","BKWBWT3","US12591TAE64","4.01","Apr 10, 2047","1.95","1.95","3.53","945,000.00"
"FHMS_K026 A2","Fixed Income","0.24","101.55","1,017,405.50","1,017,405.50","Agency CMBS","-","US3137B1BS06","2.51","Nov 25, 2022","1.82","1.82","2.44","1,000,000.00"
"COMM_12-CR4 A3","Fixed Income","0.23","101.86","1,014,542.55","1,014,542.55","Non-Agency CMBS","B8XYHS1","US12624QAR48","2.85","Oct 15, 2045","2.05","2.05","2.39","993,930.00"
"FHLMC_K102 A1","Fixed Income","0.23","101.30","1,013,760.82","1,013,760.82","Agency CMBS","-","US3137FQKB81","2.18","May 25, 2029","1.95","1.95","5.77","999,164.00"
"FHLMC_K023 A2","Fixed Income","0.23","100.98","1,011,578.85","1,011,578.85","Agency CMBS","-","US3137AWQH11","2.31","Aug 25, 2022","1.82","1.82","2.27","1,000,000.00"
"FNMA_16-M3 A2","Fixed Income","0.23","103.67","990,965.11","990,965.11","Agency CMBS","-","US3136ARTE84","2.70","Feb 25, 2026","2.03","2.03","5.51","954,000.00"
"JPMCC_12-C8 A3","Fixed Income","0.23","101.87","983,984.56","983,984.56","Non-Agency CMBS","B8NVG74","US46638UAC09","2.83","Oct 15, 2045","1.90","1.90","2.09","963,884.00"
"FHMS K067 A1","Fixed Income","0.23","103.88","982,687.58","982,687.58","Agency CMBS","-","US3137FAWR53","2.90","Mar 25, 2027","1.78","1.78","3.55","943,979.00"
"COMM_15-CR26 A4","Fixed Income","0.22","107.78","970,300.23","970,300.23","Non-Agency CMBS","BD0D634","US12593QBE98","3.63","Oct 10, 2048","2.08","2.08","4.84","898,000.00"
"FHMS_K159 A2","Fixed Income","0.22","115.65","965,842.26","965,842.26","Agency CMBS","-","US3137FKKN59","3.95","Nov 25, 2030","2.25","2.25","8.65","833,000.00"
"FHMS_K729 A1","Fixed Income","0.22","102.10","959,240.46","959,240.46","Agency CMBS","-","US3137FCM358","2.95","Feb 25, 2024","1.76","1.76","1.88","937,476.00"
"FNMA_14-M11A 1A","Fixed Income","0.22","104.91","952,852.78","952,852.78","Agency CMBS","-","US3136AK2E22","3.22","Aug 25, 2024","1.94","1.94","4.03","906,213.00"
"FHMS_K061 A1","Fixed Income","0.22","103.66","941,906.57","941,906.57","Agency CMBS","-","US3137BTUL39","3.00","Aug 25, 2026","1.87","1.87","3.32","906,720.00"
"JPMBB_14-C22 ASB","Fixed Income","0.22","103.08","932,915.45","932,915.45","Non-Agency CMBS","-","US46642NBE58","3.50","Sep 15, 2047","2.00","2.00","2.09","902,765.00"
"COMM_15-PC1 A5","Fixed Income","0.21","108.63","925,803.43","925,803.43","Non-Agency CMBS","BYTHN44","US12593GAF90","3.90","Jul 10, 2050","2.09","2.09","4.58","850,000.00"
"COMM_14-CR19 B","Fixed Income","0.21","108.56","925,779.41","925,779.41","Non-Agency CMBS","-","US12592GBG73","4.70","Aug 10, 2047","2.68","2.68","4.07","850,000.00"
"WFCM_15-C30 A4","Fixed Income","0.20","108.04","885,421.38","885,421.38","Non-Agency CMBS","-","US94989NBE67","3.66","Sep 15, 2058","2.03","2.03","4.77","817,430.00"
"FNMA_17-M3 A2","Fixed Income","0.20","103.78","883,747.97","883,747.97","Agency CMBS","-","US3136AVYL74","2.57","Dec 25, 2026","1.91","1.91","6.22","850,000.00"
"JPMCC_17-JP5 A5","Fixed Income","0.20","109.83","880,850.72","880,850.72","Non-Agency CMBS","-","US46647TAS78","3.72","Mar 15, 2050","2.14","2.14","5.95","800,000.00"
"JPMCC_15-JP1 A5","Fixed Income","0.20","109.65","879,566.00","879,566.00","Non-Agency CMBS","-","US46590KAE47","3.91","Jan 15, 2049","2.07","2.07","5.03","800,000.00"
"BANK_19-BN18 A2","Fixed Income","0.20","105.36","876,656.38","876,656.38","Non-Agency CMBS","-","US065402AZ22","3.47","May 15, 2062","2.03","2.03","3.68","830,000.00"
"WFRBS_13-UBS1 A4","Fixed Income","0.20","107.31","860,948.20","860,948.20","Non-Agency CMBS","-","US92938JAE29","4.08","Mar 15, 2046","1.87","1.87","3.23","800,000.00"
"JPMBB_14-C21 A4","Fixed Income","0.20","104.93","860,699.72","860,699.72","Non-Agency CMBS","-","US46642EAX40","3.49","Aug 15, 2047","1.92","1.92","3.12","818,238.00"
"FNMA_18-M7 A2","Fixed Income","0.20","107.33","860,498.80","860,498.80","Agency CMBS","-","US3136B1K865","3.15","Mar 25, 2028","2.08","2.08","7.08","800,000.00"
"COMM_18-COR3 A3","Fixed Income","0.20","114.24","859,200.00","859,200.00","Non-Agency CMBS","BYW3X83","US12595VAD91","4.23","May 10, 2051","2.28","2.28","6.84","750,000.00"
"COMM_13-CR12 A4","Fixed Income","0.20","107.00","858,445.20","858,445.20","Non-Agency CMBS","-","US12591KAE55","4.05","Oct 10, 2046","1.97","1.97","3.27","800,000.00"
"FHMS_K052 A2","Fixed Income","0.20","106.84","856,576.20","856,576.20","Agency CMBS","-","US3137BMTX43","3.15","Nov 25, 2025","1.78","1.78","4.92","800,000.00"
"BMARK_18-B4 A5","Fixed Income","0.20","113.50","853,550.81","853,550.81","Non-Agency CMBS","-","US08161HAF73","4.12","Jul 15, 2051","2.28","2.28","6.92","750,000.00"
"BACM_16-UB10 A4","Fixed Income","0.20","105.82","848,471.60","848,471.60","Non-Agency CMBS","-","US06054MAE30","3.17","Jul 16, 2049","2.11","2.11","5.39","800,000.00"
"MSBAM_15-C21 A4","Fixed Income","0.20","105.72","847,782.80","847,782.80","Non-Agency CMBS","BW1YZ76","US61764XBJ37","3.34","Mar 15, 2048","2.06","2.06","4.39","800,000.00"
"GSMS_19-GC38 A4","Fixed Income","0.20","112.71","847,522.50","847,522.50","Non-Agency CMBS","-","US36252SAV97","3.97","Feb 10, 2052","2.35","2.35","7.38","750,000.00"
"UBSCM_18-C8 A4","Fixed Income","0.19","111.75","840,369.94","840,369.94","Non-Agency CMBS","-","US90276VAE92","3.98","Feb 15, 2051","2.32","2.32","6.73","750,000.00"
"BMARK_18-B2 A5","Fixed Income","0.19","111.75","840,312.32","840,312.32","Non-Agency CMBS","-","US08161CAE12","3.88","Feb 15, 2051","2.20","2.20","6.65","750,000.00"
"FNMA_15-M11 A2","Fixed Income","0.19","104.69","839,301.80","839,301.80","Agency CMBS","-","US3136APSZ66","2.92","Apr 25, 2025","1.89","1.89","4.78","800,000.00"
"WFCM_19-C50 A5","Fixed Income","0.19","111.12","835,467.56","835,467.56","Non-Agency CMBS","-","US95001XBB10","3.73","May 15, 2052","2.34","2.34","7.62","750,000.00"
"CGCMT_13-GC11 A3","Fixed Income","0.19","102.28","830,862.72","830,862.72","Non-Agency CMBS","-","US17320DAE85","2.81","Apr 10, 2046","1.95","1.95","2.65","810,666.00"
"COMM_17-COR2 C","Fixed Income","0.19","110.26","829,579.59","829,579.59","Non-Agency CMBS","-","US12595EAH80","4.71","Sep 10, 2050","3.08","3.08","6.35","750,000.00"
"CFCRE_17-C8 B","Fixed Income","0.19","110.01","827,471.16","827,471.16","Non-Agency CMBS","-","US12532CBC82","4.20","Jun 15, 2050","2.65","2.65","6.17","750,000.00"
"CGCMT_17-P8 AS","Fixed Income","0.19","109.00","819,596.81","819,596.81","Non-Agency CMBS","-","US17326DAF96","3.79","Sep 15, 2050","2.46","2.46","6.49","750,000.00"
"FNMA_15-M4 AV2","Fixed Income","0.19","100.75","819,381.90","819,381.90","Agency CMBS","-","US3136AMM483","2.51","Jul 25, 2022","2.05","2.05","1.92","811,804.00"
"COMM_16-DC2 AM","Fixed Income","0.19","108.75","818,005.69","818,005.69","Non-Agency CMBS","-","US12594CBH25","4.24","Feb 10, 2049","2.62","2.62","5.17","750,000.00"
"WFCM_15-NXS2 A5","Fixed Income","0.19","108.54","816,135.94","816,135.94","Non-Agency CMBS","BYR5FR7","US94989MAE93","3.77","Jul 15, 2058","1.99","1.99","4.65","750,000.00"
"COMM_15-CR25 A4","Fixed Income","0.19","108.35","814,718.44","814,718.44","Non-Agency CMBS","BYX0D94","US12593PAW23","3.76","Aug 10, 2048","2.07","2.07","4.75","750,000.00"
"FHMS_K720 A2","Fixed Income","0.19","101.60","814,395.20","814,395.20","Agency CMBS","BYV0QV9","US3137BLUR72","2.72","Jun 25, 2022","1.83","1.83","1.96","800,000.00"
"CGCMT_15-GC31 A4","Fixed Income","0.19","108.22","813,739.12","813,739.12","Non-Agency CMBS","-","US17323YAD13","3.76","Jun 10, 2048","2.05","2.05","4.61","750,000.00"
"CD_17-CD3 AS","Fixed Income","0.19","108.03","812,374.31","812,374.31","Non-Agency CMBS","-","US12515GAF46","3.83","Feb 10, 2050","2.56","2.56","6.05","750,000.00"
"CGCMT_13-GC15 A4","Fixed Income","0.19","107.93","811,931.44","811,931.44","Non-Agency CMBS","-","US17321JAD63","4.37","Sep 10, 2046","1.89","1.89","3.08","750,000.00"
"CD_17-CD5 A4","Fixed Income","0.19","107.88","811,040.44","811,040.44","Non-Agency CMBS","-","US12515HAZ82","3.43","Aug 15, 2050","2.23","2.23","6.32","750,000.00"
"JPMBB_16-C1 A-5","Fixed Income","0.19","107.81","810,582.81","810,582.81","Non-Agency CMBS","-","US46645LAY39","3.58","Mar 15, 2049","2.11","2.11","5.18","750,000.00"
"JPMBB_14-C22 A-4","Fixed Income","0.19","107.53","808,610.93","808,610.93","Non-Agency CMBS","BZ181K4","US46642NBD75","3.80","Sep 15, 2047","1.94","1.94","3.95","750,000.00"
"CSAIL_16-C5 C","Fixed Income","0.19","107.32","807,557.16","807,557.16","Non-Agency CMBS","-","US12636LBE92","4.73","Nov 15, 2048","3.31","3.31","5.09","750,000.00"
"JPMDB_16-C2 B","Fixed Income","0.19","107.05","805,086.43","805,086.43","Non-Agency CMBS","-","US46590LAY83","3.99","Jun 15, 2049","2.74","2.74","5.48","750,000.00"
"COMM_14-UBS3 A4","Fixed Income","0.19","106.92","804,078.94","804,078.94","Non-Agency CMBS","BD0D5K4","US12591YBC84","3.82","Jun 10, 2047","2.02","2.02","3.73","750,000.00"
"WFRBS_13-C15 A4","Fixed Income","0.19","106.90","804,083.06","804,083.06","Non-Agency CMBS","-","US92938CAD92","4.15","Aug 15, 2046","1.93","1.93","3.05","750,000.00"
"MSBAM_14-C17 A5","Fixed Income","0.19","106.89","803,786.81","803,786.81","Non-Agency CMBS","-","US61763UAZ57","3.74","Aug 15, 2047","1.96","1.96","3.78","750,000.00"
"GSMS_14-GC26 A5","Fixed Income","0.19","106.88","803,620.31","803,620.31","Non-Agency CMBS","-","US36250HAE36","3.63","Nov 10, 2047","2.03","2.03","4.16","750,000.00"
"CGCMT_14-GC25 AS","Fixed Income","0.19","106.75","802,910.81","802,910.81","Non-Agency CMBS","-","US17322YAF79","4.02","Oct 10, 2047","2.44","2.44","4.15","750,000.00"
"CGCMT_14-GC23 A4","Fixed Income","0.19","106.72","802,406.62","802,406.62","Non-Agency CMBS","-","US17322VAT35","3.62","Jul 10, 2047","1.95","1.95","3.90","750,000.00"
"MSBAM_15-C23 A3","Fixed Income","0.19","106.63","801,657.94","801,657.94","Non-Agency CMBS","-","US61690QAD16","3.45","Jul 15, 2050","1.94","1.94","4.30","750,000.00"
"WFRBS_13-C17 A3","Fixed Income","0.19","105.54","799,807.80","799,807.80","Non-Agency CMBS","-","US92938GAC24","3.75","Dec 15, 2046","1.81","1.81","2.82","755,843.00"
"FHMS_K080 A2","Fixed Income","0.18","113.74","798,274.75","798,274.75","Agency CMBS","BFX3C59","US3137FHPJ63","3.93","Jul 25, 2028","2.08","2.08","7.05","700,000.00"
"COMM_15-DC1 A5","Fixed Income","0.18","105.96","796,616.62","796,616.62","Non-Agency CMBS","BYTWQB7","US12629NAF24","3.35","Feb 10, 2048","2.01","2.01","4.33","750,000.00"
"JPMBB_15-C28 A4","Fixed Income","0.18","105.40","792,313.16","792,313.16","Non-Agency CMBS","-","US46644FAD33","3.23","Oct 15, 2048","2.03","2.03","4.45","750,000.00"
"DBJPM_17-C6 A3","Fixed Income","0.18","104.51","785,652.56","785,652.56","Non-Agency CMBS","-","US23312JAC71","3.27","Jun 10, 2050","2.18","2.18","4.06","750,000.00"
"BMARK _18-B1 A2","Fixed Income","0.18","103.98","781,835.44","781,835.44","Non-Agency CMBS","-","US08162PAT84","3.57","Jan 15, 2051","1.98","1.98","2.52","750,000.00"
"CGCMT_19-GC41 AS","Fixed Income","0.18","103.56","778,419.26","778,419.26","Non-Agency CMBS","-","US17328FAY16","3.02","Aug 11, 2056","2.59","2.59","8.07","750,000.00"
"FNMA_15-M1 A2","Fixed Income","0.18","102.17","767,706.00","767,706.00","Agency CMBS","-","US3136AMKZ18","2.53","Sep 25, 2024","2.01","2.01","4.32","750,000.00"
"MSBAM_12-C6 A4","Fixed Income","0.18","101.95","765,661.91","765,661.91","Non-Agency CMBS","-","US61761DAD49","2.86","Nov 15, 2045","1.89","1.89","2.07","749,476.00"
"FNMA_19-M5 A2","Fixed Income","0.18","108.53","761,456.32","761,456.32","Agency CMBS","-","US3136B4KB37","3.27","Jan 25, 2029","2.19","2.19","7.69","700,000.00"
"COMM_13-CR9 A4","Fixed Income","0.17","106.99","751,187.73","751,187.73","Non-Agency CMBS","BCFKQH7","US12625UBF93","4.36","Jul 10, 2045","2.00","2.00","2.97","700,000.00"
"CSAIL_15-C2 AS","Fixed Income","0.17","106.27","745,922.62","745,922.62","Non-Agency CMBS","-","US12634NAX66","3.85","Jun 15, 2057","2.52","2.52","4.61","700,000.00"
"FNMA_14-M11B 2A","Fixed Income","0.17","106.65","742,680.89","742,680.89","Agency CMBS","-","US3136AK2F96","3.41","Aug 25, 2026","2.15","2.15","5.51","694,707.00"
"FNMA_14-M4 A2","Fixed Income","0.17","105.10","737,422.97","737,422.97","Agency CMBS","-","US3136AJB540","3.35","Mar 25, 2024","1.96","1.96","3.71","700,000.00"
"COMM_14-LC17 A5","Fixed Income","0.17","108.17","732,149.38","732,149.38","Non-Agency CMBS","-","US12592MBK53","3.92","Oct 10, 2047","1.95","1.95","4.01","675,000.00"
"JPMBB_13-C14 A4","Fixed Income","0.17","106.90","729,003.88","729,003.88","Non-Agency CMBS","BCG9297","US46640LAD47","4.13","Aug 15, 2046","1.90","1.90","3.02","680,000.00"
"JPMCC_16-JP2 AS","Fixed Income","0.17","103.74","727,795.39","727,795.39","Non-Agency CMBS","-","US46590MAV28","3.06","Aug 15, 2049","2.41","2.41","5.77","700,000.00"
"COMM_14-UBS5 A4","Fixed Income","0.17","107.73","718,298.75","718,298.75","Non-Agency CMBS","-","US12592KBC71","3.84","Sep 10, 2047","1.97","1.97","4.00","665,000.00"
"MSC_12-C4 A4","Fixed Income","0.17","102.32","717,927.70","717,927.70","Non-Agency CMBS","-","US61760VAP85","3.24","Mar 15, 2045","1.64","1.64","1.49","700,000.00"
"JPMCC_17-JP5 AS","Fixed Income","0.16","108.62","707,946.01","707,946.01","Non-Agency CMBS","-","US46647TAX63","3.88","Mar 15, 2050","2.50","2.50","6.04","650,000.00"
"CSAIL_15-C3 A4","Fixed Income","0.16","108.07","704,268.27","704,268.27","Non-Agency CMBS","BZ052N6","US12635FAT12","3.72","Aug 15, 2048","2.06","2.06","4.70","650,000.00"
"UBSBB_13-C6 A4","Fixed Income","0.16","103.63","703,205.47","703,205.47","Non-Agency CMBS","-","US90349GBF19","3.24","Apr 10, 2046","1.90","1.90","2.68","677,000.00"
