iShares Core U.S. Aggregate Bond ETF
Fund Holdings as of,"Jan 28, 2020"
Inception Date,"Sep 22, 2003"
Shares Outstanding,"631,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Asset Class,Weight (%),Price,Market Value,Notional Value,Sector,SEDOL,ISIN,Coupon (%),Maturity,YTM (%),Yield to Worst (%),Duration,Par Value
"EBAY INC","Fixed Income","0.01","101.95","4,942,289.27","4,942,289.27","Industrial","BD82MT1","US278642AS20","2.75","Jan 30, 2023","2.08","2.06","2.79","4,784,000.00"
"PEOPLES UNITED FINANCIAL INC","Fixed Income","0.01","104.19","4,941,558.53","4,941,558.53","Financial Institutions","B931KW4","US712704AA31","3.65","Dec 06, 2022","2.13","1.99","2.49","4,719,000.00"
"AMERICAN INTERNATIONAL GROUP INC","Fixed Income","0.01","108.07","4,942,574.57","4,942,574.57","Financial Institutions","BF5ZVL2","US026874CY14","4.13","Feb 15, 2024","2.04","2.04","3.69","4,496,000.00"
"DUKE ENERGY CORP","Fixed Income","0.01","99.96","4,938,082.80","4,938,082.80","Utility","BDGM1M9","US26441CAR60","1.80","Sep 01, 2021","1.83","1.83","1.51","4,904,000.00"
"TIME WARNER ENTERTAINMENT CMPNY LP","Fixed Income","0.01","145.27","4,933,415.78","4,933,415.78","Industrial","2727266","US88731EAJ91","8.38","Jul 15, 2033","3.99","3.99","9.11","3,389,000.00"
"CATERPILLAR FINANCIAL SERVICES COR MTN","Fixed Income","0.01","102.23","4,925,148.20","4,925,148.20","Industrial","BFY0KJ9","US14913Q2N89","3.15","Sep 07, 2021","1.74","1.74","1.55","4,760,000.00"
"FNMA 30YR 3.5% 100% FL 2012","Fixed Income","0.01","103.16","4,931,038.13","4,931,038.13","MBS Pass-Through","-","-","3.50","May 01, 2042","2.86","2.86","1.95","4,768,000.00"
"ORACLE CORPORATION","Fixed Income","0.01","113.18","4,921,358.52","4,921,358.52","Industrial","BZ5YK12","US68389XBH70","3.85","Jul 15, 2036","2.84","2.82","12.28","4,343,000.00"
"NATIONAL AUSTRALIA BANK LTD ( NEW MTN","Fixed Income","0.01","101.47","4,922,572.18","4,922,572.18","Financial Institutions","BDDX567","US63254AAS78","2.50","Jul 12, 2026","2.25","2.25","5.95","4,846,000.00"
"TIME WARNER CABLE LLC","Fixed Income","0.01","103.10","4,919,647.00","4,919,647.00","Industrial","B8N2417","US88732JBD90","4.50","Sep 15, 2042","4.28","4.28","13.96","4,696,000.00"
"AMERICAN TOWER CORP","Fixed Income","0.01","104.10","4,916,980.53","4,916,980.53","Industrial","B7T8T62","US03027XAB64","3.50","Jan 31, 2023","2.08","2.08","2.82","4,646,000.00"
"JPMORGAN CHASE & CO","Fixed Income","0.01","102.34","4,912,927.92","4,912,927.92","Financial Institutions","BDGLCJ0","US46625HRL68","2.70","May 18, 2023","1.96","1.93","3.03","4,776,000.00"
"ASIAN DEVELOPMENT BANK","Fixed Income","0.01","129.12","4,914,514.60","4,914,514.60","Supranational","5368026","US045167AU73","6.22","Aug 15, 2027","2.04","2.04","6.14","3,725,000.00"
"SANTANDER UK GROUP HOLDINGS PLC","Fixed Income","0.01","101.17","4,913,629.64","4,913,629.64","Financial Institutions","BDCBFG2","US80281LAE56","2.88","Aug 05, 2021","2.09","2.09","1.47","4,791,000.00"
"LOWES COMPANIES INC","Fixed Income","0.01","105.04","4,914,256.07","4,914,256.07","Industrial","BD0SCD1","US548661DN40","3.70","Apr 15, 2046","3.41","3.40","16.60","4,632,000.00"
"GILEAD SCIENCES INC","Fixed Income","0.01","106.53","4,903,419.33","4,903,419.33","Industrial","BK1KRL8","US375558AW38","3.70","Apr 01, 2024","2.06","1.96","3.65","4,551,000.00"
"PEPSICO INC","Fixed Income","0.01","102.41","4,908,760.44","4,908,760.44","Industrial","BYQ4100","US713448DN57","2.38","Oct 06, 2026","1.99","1.97","6.02","4,759,000.00"
"TRUIST FINANCIAL CORP MTN","Fixed Income","0.01","102.01","4,904,520.14","4,904,520.14","Financial Institutions","BJMSSM2","US05531FBH55","2.50","Aug 01, 2024","2.03","2.02","4.17","4,750,000.00"
"BAXALTA INC","Fixed Income","0.01","108.53","4,902,619.23","4,902,619.23","Industrial","BYN15Z7","US07177MAB90","4.00","Jun 23, 2025","2.31","2.24","4.71","4,501,000.00"
"ROCKWELL COLLINS INC.","Fixed Income","0.01","108.32","4,898,473.38","4,898,473.38","Industrial","BYVBMD6","US774341AK79","3.50","Mar 15, 2027","2.23","2.19","6.14","4,469,000.00"
"BPCE SA MTN","Fixed Income","0.01","101.73","4,888,106.12","4,888,106.12","Financial Institutions","BYV4440","US05578DAW20","2.75","Dec 02, 2021","1.79","1.79","1.79","4,785,000.00"
"FEDERAL HOME LOAN BANKS","Fixed Income","0.01","100.10","4,892,751.40","4,892,751.40","Agency","BYVTQN8","US3130ADUJ96","2.38","Mar 30, 2020","1.76","1.76","0.17","4,850,000.00"
"GNMA 30YR 4% HLB 150K 2012","Fixed Income","0.01","107.94","4,889,502.24","4,889,502.24","MBS Pass-Through","-","-","4.00","Feb 15, 2042","2.06","2.06","1.20","4,517,205.00"
"MCDONALDS CORPORATION MTN","Fixed Income","0.01","110.38","4,889,853.15","4,889,853.15","Industrial","BFXSFH7","US58013MFF68","3.80","Apr 01, 2028","2.39","2.36","6.90","4,381,000.00"
"APPLE INC","Fixed Income","0.01","101.38","4,886,701.24","4,886,701.24","Industrial","BD3N0S4","US037833CQ11","2.30","May 11, 2022","1.68","1.66","2.15","4,797,000.00"
"FNMA_15-M10 A2","Fixed Income","0.01","107.16","4,883,978.95","4,883,978.95","CMBS","BYT49T2","US3136AN6U63","3.09","Apr 25, 2027","1.96","1.96","6.22","4,548,000.00"
"INTERPUBLIC GROUP OF COMPANIES INC","Fixed Income","0.01","104.85","4,886,058.16","4,886,058.16","Industrial","B8WSJD3","US460690BK55","3.75","Feb 15, 2023","2.10","2.10","2.85","4,586,000.00"
"CIGNA CORP","Fixed Income","0.01","105.41","4,880,188.87","4,880,188.87","Industrial","BKPHRZ9","US125523AF71","3.75","Jul 15, 2023","2.12","2.09","3.19","4,624,000.00"
"VENTAS REALTY LP","Fixed Income","0.01","104.01","4,879,796.54","4,879,796.54","Financial Institutions","BDHDQ15","US92277GAJ67","3.25","Oct 15, 2026","2.59","2.57","5.88","4,650,000.00"
"CATERPILLAR INC","Fixed Income","0.01","133.41","4,869,286.91","4,869,286.91","Industrial","B3T0KH8","US149123BS95","5.20","May 27, 2041","3.06","3.06","13.95","3,626,000.00"
"BOSTON PROPERTIES LP","Fixed Income","0.01","103.80","4,859,951.93","4,859,951.93","Financial Institutions","B9N2L91","US10112RAV69","3.13","Sep 01, 2023","2.02","1.94","3.18","4,625,000.00"
"US BANK NA/CINCINNATI OH","Fixed Income","0.01","103.95","4,860,119.61","4,860,119.61","Financial Institutions","BV9FRX4","US90331HMS93","2.80","Jan 27, 2025","1.97","1.95","4.62","4,675,000.00"
"WELLS FARGO & COMPANY","Fixed Income","0.01","131.19","4,861,588.26","4,861,588.26","Financial Institutions","B0FR9F3","US929903AM44","5.50","Aug 01, 2035","2.97","2.97","10.94","3,631,000.00"
"GENERAL ELECTRIC CO MTN","Fixed Income","0.01","102.72","4,865,176.81","4,865,176.81","Industrial","B85PGG3","US36962G6S82","3.10","Jan 09, 2023","2.14","2.14","2.82","4,729,000.00"
"CARDINAL HEALTH INC","Fixed Income","0.01","101.24","4,856,382.42","4,856,382.42","Industrial","BZ4DMC5","US14149YBF43","2.62","Jun 15, 2022","2.08","2.06","2.24","4,782,000.00"
"AMERICAN EXPRESS CO","Fixed Income","0.01","121.31","4,858,980.24","4,858,980.24","Financial Institutions","B968SP1","US025816BF52","4.05","Dec 03, 2042","2.78","2.78","15.52","3,985,000.00"
"CBRE SERVICES INC","Fixed Income","0.01","113.30","4,858,304.80","4,858,304.80","Industrial","BZ4V360","US12505BAD29","4.88","Mar 01, 2026","2.51","2.42","5.09","4,214,000.00"
"DISCOVERY COMMUNICATIONS LLC","Fixed Income","0.01","113.41","4,858,007.83","4,858,007.83","Industrial","B8BC5S3","US25470DAG43","4.95","May 15, 2042","4.03","4.03","13.90","4,246,000.00"
"FHLMC 30YR UMBS","Fixed Income","0.01","107.85","4,848,328.49","4,848,328.49","MBS Pass-Through","-","-","4.00","Jul 01, 2049","2.43","2.43","3.12","4,482,984.00"
"MICROSOFT CORPORATION","Fixed Income","0.01","106.99","4,849,254.15","4,849,254.15","Industrial","BH4P0K9","US594918AW47","3.63","Dec 15, 2023","1.75","1.63","3.42","4,514,000.00"
"AT&T INC","Fixed Income","0.01","132.80","4,848,302.94","4,848,302.94","Industrial","BDCL4M1","US00206RDT68","5.70","Mar 01, 2057","4.00","3.99","17.33","3,588,000.00"
"VODAFONE GROUP PLC","Fixed Income","0.01","118.61","4,842,883.48","4,842,883.48","Industrial","BK6WV73","US92857WBS89","4.88","Jun 19, 2049","3.82","3.82","16.50","4,065,000.00"
"VERIZON COMMUNICATIONS INC","Fixed Income","0.01","137.16","4,841,956.23","4,841,956.23","Industrial","BYZNV86","US92343VDV36","5.50","Mar 16, 2047","3.39","3.39","15.64","3,479,000.00"
"INTERNATIONAL BANK FOR RECONSTRUCT","Fixed Income","0.01","134.57","4,833,253.30","4,833,253.30","Supranational","B064HC6","US45905CAA27","4.75","Feb 15, 2035","2.06","2.06","11.24","3,535,000.00"
"MOODYS CORPORATION","Fixed Income","0.01","110.29","4,831,887.53","4,831,887.53","Industrial","BCZQWY4","US615369AC97","4.88","Feb 15, 2024","2.20","2.04","3.44","4,295,000.00"
"INTEL CORPORATION","Fixed Income","0.01","104.40","4,829,406.71","4,829,406.71","Industrial","BF3W9T9","US458140BD13","2.88","May 11, 2024","1.80","1.77","3.91","4,599,000.00"
"DUKE ENERGY CAROLINAS","Fixed Income","0.01","139.80","4,821,366.79","4,821,366.79","Utility","B1YBZM2","US26442CAA27","6.10","Jun 01, 2037","3.11","3.11","11.74","3,425,000.00"
"FORD MOTOR CREDIT COMPANY LLC MTN","Fixed Income","0.01","102.71","4,816,975.91","4,816,975.91","Industrial","BD0SY80","US345397XU23","4.39","Jan 08, 2026","3.87","3.87","5.26","4,679,000.00"
"BP CAPITAL MARKETS AMERICA INC.","Fixed Income","0.01","104.91","4,811,367.19","4,811,367.19","Industrial","BH4L5K2","US10373QAY61","3.22","Apr 14, 2024","2.00","1.96","3.80","4,546,000.00"
"GEORGIA POWER COMPANY","Fixed Income","0.01","115.39","4,810,037.13","4,810,037.13","Utility","B78K6L3","US373334JW27","4.30","Mar 15, 2042","3.31","3.31","14.59","4,112,000.00"
"WALMART INC","Fixed Income","0.01","103.81","4,815,620.66","4,815,620.66","Industrial","BZ1DXQ9","US931142DV21","2.65","Dec 15, 2024","1.83","1.81","4.47","4,625,000.00"
"FNMA 30YR 3.5% 100% NY 2018","Fixed Income","0.01","105.64","4,811,448.76","4,811,448.76","MBS Pass-Through","-","-","3.50","Apr 01, 2049","2.61","2.61","1.95","4,543,069.00"
"NEWMONT MINING CORP","Fixed Income","0.01","138.84","4,809,173.78","4,809,173.78","Industrial","B4MFN56","US651639AM86","6.25","Oct 01, 2039","3.50","3.50","12.46","3,414,000.00"
"KEURIG DR PEPPER INC","Fixed Income","0.01","100.69","4,810,246.98","4,810,246.98","Industrial","BYVC6X7","US26138EAU38","2.55","Sep 15, 2026","2.44","2.43","5.94","4,733,000.00"
"TYSON FOODS INC","Fixed Income","0.01","121.86","4,813,927.32","4,813,927.32","Industrial","BPYDJR9","US902494AZ66","4.88","Aug 15, 2034","3.01","2.96","10.49","3,880,000.00"
"SOUTHERN COMPANY (THE)","Fixed Income","0.01","105.74","4,812,722.09","4,812,722.09","Utility","BYT1506","US842587CV72","3.25","Jul 01, 2026","2.28","2.25","5.67","4,541,000.00"
"GLP CAPITAL LP","Fixed Income","0.01","116.54","4,810,810.03","4,810,810.03","Industrial","BG08VY6","US361841AK54","5.75","Jun 01, 2028","3.45","3.40","6.63","4,096,000.00"
"CORPORACION ANDINA DE FOMENTO","Fixed Income","0.01","105.06","4,803,915.91","4,803,915.91","Supranational","B7VZ4D3","US219868BS46","4.38","Jun 15, 2022","2.18","2.18","2.26","4,550,000.00"
"UNILEVER CAPITAL CORP","Fixed Income","0.01","137.61","4,802,562.66","4,802,562.66","Industrial","7518926","US904764AH00","5.90","Nov 15, 2032","2.46","2.46","9.57","3,460,000.00"
"SCHLUMBERGER INVESTMENT SA","Fixed Income","0.01","106.38","4,807,893.20","4,807,893.20","Industrial","BGYGS45","US806854AH81","3.65","Dec 01, 2023","1.92","1.81","3.38","4,495,000.00"
"NUCOR CORP","Fixed Income","0.01","106.02","4,805,362.17","4,805,362.17","Industrial","BCJ52G9","US670346AM72","4.00","Aug 01, 2023","2.21","2.08","3.02","4,450,000.00"
"WRKCO INC","Fixed Income","0.01","115.73","4,802,614.03","4,802,614.03","Industrial","BJHN0K4","US92940PAD69","4.90","Mar 15, 2029","2.92","2.88","7.29","4,086,000.00"
"SOUTHERN COPPER CORP","Fixed Income","0.01","117.37","4,802,984.17","4,802,984.17","Industrial","B8ZRND5","US84265VAG05","5.25","Nov 08, 2042","4.07","4.07","13.86","4,052,000.00"
"CAMPBELL SOUP COMPANY","Fixed Income","0.01","110.21","4,804,011.89","4,804,011.89","Industrial","BG1XJ24","US134429BG35","4.15","Mar 15, 2028","2.74","2.70","6.76","4,299,000.00"
"BP CAPITAL MARKETS PLC","Fixed Income","0.01","107.33","4,799,596.82","4,799,596.82","Industrial","BDGTRQ6","US05565QCJ58","3.99","Sep 26, 2023","1.91","1.91","3.38","4,416,000.00"
"AFLAC INCORPORATED","Fixed Income","0.01","105.65","4,796,527.67","4,796,527.67","Financial Institutions","BWC4XP9","US001055AP78","3.25","Mar 17, 2025","2.08","2.08","4.69","4,489,000.00"
"TORONTO-DOMINION BANK/THE MTN","Fixed Income","0.01","100.80","4,801,060.31","4,801,060.31","Financial Institutions","BFN9G99","US89114QBX51","2.55","Jan 25, 2021","1.73","1.73","0.98","4,762,000.00"
"VERIZON COMMUNICATIONS INC","Fixed Income","0.01","129.03","4,799,647.35","4,799,647.35","Industrial","BYZKXZ8","US92343VDU52","5.25","Mar 16, 2037","3.06","3.06","11.89","3,665,000.00"
"CONSTELLATION BRANDS INC","Fixed Income","0.01","107.26","4,793,161.72","4,793,161.72","Industrial","BF42ZK1","US21036PAY43","3.60","Feb 15, 2028","2.59","2.57","6.81","4,402,000.00"
"APPLE INC","Fixed Income","0.01","103.17","4,784,609.99","4,784,609.99","Industrial","BYN2GL3","US037833BU32","2.85","Feb 23, 2023","1.78","1.73","2.78","4,583,000.00"
"WESTPAC BANKING CORP","Fixed Income","0.01","103.54","4,782,005.48","4,782,005.48","Financial Institutions","BYP8N85","US961214CX95","2.85","May 13, 2026","2.24","2.24","5.74","4,592,000.00"
"INTERNATIONAL PAPER CO","Fixed Income","0.01","104.34","4,781,611.64","4,781,611.64","Industrial","BD1FC31","US460146CP67","3.00","Feb 15, 2027","2.33","2.31","6.17","4,524,000.00"
"BERKSHIRE HATHAWAY INC","Fixed Income","0.01","100.57","4,775,034.16","4,775,034.16","Financial Institutions","BDB5JD0","US084670BQ02","2.20","Mar 15, 2021","1.69","1.65","1.03","4,710,000.00"
"NEW YORK CITY MUNICIPAL WATER FINA","Fixed Income","0.01","153.99","4,780,031.38","4,780,031.38","Local Authority","B3TZ6C0","US64972FY341","5.88","Jun 15, 2044","2.78","2.78","14.92","3,090,000.00"
"AUSTRALIA AND NEW ZEALAND BANKING","Fixed Income","0.01","101.81","4,773,093.88","4,773,093.88","Financial Institutions","BYQMSN6","US05253JAS06","2.63","May 19, 2022","1.82","1.82","2.23","4,665,000.00"
"PACKAGING CORP OF AMERICA","Fixed Income","0.01","105.96","4,775,973.09","4,775,973.09","Industrial","BDZ79G5","US695156AT63","3.40","Dec 15, 2027","2.56","2.54","6.80","4,490,000.00"
"GENERAL MILLS INC","Fixed Income","0.01","105.94","4,779,398.28","4,779,398.28","Industrial","BJ62ZK7","US370334BT00","3.65","Feb 15, 2024","2.11","2.02","3.53","4,442,000.00"
"BARRICK PD AUSTRALIA FINANCE PTY L","Fixed Income","0.01","132.61","4,766,639.23","4,766,639.23","Industrial","B5KT034","US06849UAD72","5.95","Oct 15, 2039","3.62","3.62","12.57","3,549,000.00"
"GENERAL MOTORS FINANCIAL CO INC","Fixed Income","0.01","106.64","4,767,410.73","4,767,410.73","Industrial","BDR58D7","US37045XBT28","4.35","Jan 17, 2027","3.28","3.24","5.94","4,465,000.00"
"AMERICAN EXPRESS CO","Fixed Income","0.01","101.46","4,766,784.70","4,766,784.70","Financial Institutions","BD9MLW6","US025816BM04","2.50","Aug 01, 2022","1.90","1.88","2.34","4,642,000.00"
"HOME DEPOT INC","Fixed Income","0.01","102.48","4,760,208.72","4,760,208.72","Industrial","B3MHYW9","US437076AW21","4.40","Apr 01, 2021","2.25","1.68","0.90","4,581,000.00"
"BANK OF AMERICA CORP MTN","Fixed Income","0.01","123.74","4,761,654.99","4,761,654.99","Financial Institutions","BJMJ632","US06051GHS12","4.33","Mar 15, 2050","3.09","3.09","17.44","3,799,000.00"
"UNIVERSITY OF NOTRE DAME DU LAC","Fixed Income","0.01","112.24","4,761,430.51","4,761,430.51","Industrial","BYVZLV9","US914748AA64","3.39","Feb 15, 2048","2.76","2.76","18.13","4,185,000.00"
"FIDELITY NATIONAL INFORMATION SERV","Fixed Income","0.01","104.54","4,758,680.87","4,758,680.87","Industrial","B8QBQC6","US31620MAK27","3.50","Apr 15, 2023","2.03","1.92","2.82","4,509,000.00"
"MCDONALDS CORPORATION MTN","Fixed Income","0.01","107.93","4,764,909.60","4,764,909.60","Industrial","BDFC7V1","US58013MFB54","3.50","Mar 01, 2027","2.28","2.24","6.10","4,357,000.00"
"HSBC HOLDINGS PLC","Fixed Income","0.01","101.27","4,756,535.93","4,756,535.93","Financial Institutions","BDCVWX8","US404280BF56","2.65","Jan 05, 2022","1.98","1.98","1.88","4,689,000.00"
"WALT DISNEY CO","Fixed Income","0.01","143.46","4,755,701.34","4,755,701.34","Industrial","-","US254687DZ66","6.20","Dec 15, 2034","2.65","2.65","10.63","3,298,000.00"
"BP CAPITAL MARKETS PLC","Fixed Income","0.01","103.07","4,757,987.50","4,757,987.50","Industrial","B52GJX6","US05565QBU13","3.56","Nov 01, 2021","1.78","1.78","1.70","4,578,000.00"
"METLIFE INC","Fixed Income","0.01","137.69","4,757,154.87","4,757,154.87","Financial Institutions","B0BXDC0","US59156RAM07","5.70","Jun 15, 2035","2.69","2.69","11.05","3,438,000.00"
"JPMORGAN CHASE & CO","Fixed Income","0.01","116.27","4,755,125.83","4,755,125.83","Financial Institutions","BDRJGF7","US46647PAN69","3.90","Jan 23, 2049","3.03","3.03","17.68","4,088,000.00"
"VIACOM INC","Fixed Income","0.01","138.18","4,753,962.25","4,753,962.25","Industrial","B1G5DX9","US925524AX89","6.88","Apr 30, 2036","3.72","3.72","10.73","3,399,000.00"
"COOPERATIEVE RABOBANK UA (NEW YORK","Fixed Income","0.01","101.76","4,747,218.17","4,747,218.17","Financial Institutions","BYYPS37","US21688AAJ16","2.75","Jan 10, 2022","1.83","1.83","1.90","4,659,000.00"
"PFIZER INC","Fixed Income","0.01","118.66","4,750,168.65","4,750,168.65","Industrial","BJJD7V2","US717081EV18","4.00","Mar 15, 2049","3.03","3.02","17.69","3,954,000.00"
"INTERNATIONAL BANK FOR RECONSTRUCT","Fixed Income","0.01","100.97","4,750,377.53","4,750,377.53","Supranational","BNGWXG7","US459058DT78","2.25","Jun 24, 2021","1.55","1.55","1.38","4,695,000.00"
"INTER-AMERICAN DEVELOPMENT BANK","Fixed Income","0.01","105.09","4,745,897.43","4,745,897.43","Supranational","-","US4581X0CY26","2.38","Jul 07, 2027","1.65","1.65","6.82","4,510,000.00"
"HEWLETT PACKARD ENTERPRISE CO","Fixed Income","0.01","124.33","4,745,138.82","4,745,138.82","Industrial","BD3GB68","US42824CAX74","6.20","Oct 15, 2035","4.09","4.04","10.41","3,763,000.00"
"UNITEDHEALTH GROUP INC","Fixed Income","0.01","103.68","4,742,620.73","4,742,620.73","Financial Institutions","BYTRVY0","US91324PCN06","3.35","Jul 15, 2022","1.82","1.82","2.36","4,569,000.00"
"WELLS FARGO BANK NA","Fixed Income","0.01","103.04","4,739,401.52","4,739,401.52","Financial Institutions","BGK3KP5","US94988J5T07","3.63","Oct 22, 2021","1.84","1.75","1.59","4,557,000.00"
"WALGREENS BOOTS ALLIANCE INC","Fixed Income","0.01","105.43","4,740,485.54","4,740,485.54","Industrial","BSL6VF4","US931427AH10","3.80","Nov 18, 2024","2.59","2.53","4.22","4,465,000.00"
"URUGUAY (ORIENTAL REPUBLIC OF)","Fixed Income","0.01","108.69","4,730,940.96","4,730,940.96","Sovereign","BCZQFJ0","US760942AZ58","4.50","Aug 14, 2024","1.95","1.95","3.24","4,272,000.00"
"AERCAP IRELAND CAPITAL LTD / AERCA","Fixed Income","0.01","104.74","4,734,439.68","4,734,439.68","Financial Institutions","BYXJFP1","US00772BAM37","5.00","Oct 01, 2021","2.10","2.10","1.59","4,451,000.00"
"LLOYDS BANKING GROUP PLC","Fixed Income","0.01","111.06","4,735,528.50","4,735,528.50","Financial Institutions","BFMYF65","US53944YAE32","4.34","Jan 09, 2048","3.70","3.70","16.60","4,255,000.00"
"BOARDWALK PIPELINES LP","Fixed Income","0.01","102.64","4,729,795.26","4,729,795.26","Industrial","B8XDMC7","US096630AC28","3.38","Feb 01, 2023","2.46","2.38","2.64","4,535,000.00"
"SYNCHRONY FINANCIAL","Fixed Income","0.01","108.40","4,735,647.39","4,735,647.39","Financial Institutions","BYTRVS4","US87165BAG86","4.50","Jul 23, 2025","2.84","2.77","4.74","4,366,000.00"
"ARCHER DANIELS MIDLAND CO","Fixed Income","0.01","102.94","4,717,980.69","4,717,980.69","Industrial","BDGPG23","US039483BL57","2.50","Aug 11, 2026","2.02","2.00","5.84","4,532,000.00"
"INTERNATIONAL BUSINESS MACHINES CO","Fixed Income","0.01","101.38","4,718,028.51","4,718,028.51","Industrial","BKB0C35","US459200JW25","2.80","May 13, 2021","1.71","1.71","1.26","4,627,000.00"
"HP INC","Fixed Income","0.01","115.23","4,721,436.40","4,721,436.40","Industrial","B5V6LS6","US428236BR31","6.00","Sep 15, 2041","4.85","4.85","12.54","4,020,000.00"
"LOWES COMPANIES INC","Fixed Income","0.01","102.96","4,720,732.07","4,720,732.07","Industrial","B4K33R4","US548661CV74","3.80","Nov 15, 2021","2.11","1.85","1.49","4,551,000.00"
"TRANSCANADA PIPELINES LIMITED","Fixed Income","0.01","101.18","4,717,898.17","4,717,898.17","Industrial","B83D476","US893526DM20","2.50","Aug 01, 2022","2.02","2.02","2.40","4,607,000.00"
"DOMINION GAS HOLDINGS LLC","Fixed Income","0.01","118.00","4,717,504.81","4,717,504.81","Industrial","BPYPLR9","US257375AF22","4.80","Nov 01, 2043","3.66","3.65","14.64","3,959,000.00"
"FORD MOTOR CREDIT COMPANY LLC","Fixed Income","0.01","108.88","4,722,055.76","4,722,055.76","Industrial","BJ0M5H0","US345397ZQ92","5.58","Mar 18, 2024","3.27","3.23","3.61","4,258,000.00"
"NEW YORK N Y CITY MUN FIN AUTH WTR","Fixed Income","0.01","149.11","4,710,980.42","4,710,980.42","Local Authority","B3NRLF0","US64972FT309","5.72","Jun 15, 2042","2.77","2.77","14.33","3,145,000.00"
"GNMA 30YR 2006 PRODUCTION","Fixed Income","0.01","112.83","4,714,483.77","4,714,483.77","MBS Pass-Through","-","-","6.00","Mar 15, 2037","2.83","2.83","3.47","4,161,679.00"
"ASIAN DEVELOPMENT BANK MTN","Fixed Income","0.01","103.75","4,713,826.25","4,713,826.25","Supranational","BD217M2","US045167EH27","2.75","Mar 17, 2023","1.52","1.52","2.97","4,500,000.00"
"RABOBANK NEDERLAND NV","Fixed Income","0.01","102.59","4,707,372.26","4,707,372.26","Financial Institutions","B3N4LW8","US21685WBT36","4.50","Jan 11, 2021","1.75","1.75","0.94","4,579,000.00"
"MICROSOFT CORPORATION","Fixed Income","0.01","102.56","4,705,450.07","4,705,450.07","Industrial","BYV2RY5","US594918BH60","2.65","Nov 03, 2022","1.70","1.64","2.52","4,560,000.00"
"ALEXANDRIA REAL ESTATE EQUITIES IN","Fixed Income","0.01","105.69","4,703,764.98","4,703,764.98","Financial Institutions","BBC3984","US015271AD13","3.90","Jun 15, 2023","2.15","2.02","2.96","4,431,000.00"
"SOUTHERN PERU COPPER","Fixed Income","0.01","140.67","4,703,160.84","4,703,160.84","Industrial","B0W5M84","US84265VAA35","7.50","Jul 27, 2035","3.96","3.96","10.27","3,343,000.00"
"INTEL CORPORATION","Fixed Income","0.01","101.62","4,695,494.72","4,695,494.72","Industrial","-","US458140BH27","2.45","Nov 15, 2029","2.26","2.26","8.58","4,600,000.00"
"BP CAPITAL MARKETS PLC","Fixed Income","0.01","106.95","4,693,724.64","4,693,724.64","Industrial","BSL7FV1","US05565QCS57","3.54","Nov 04, 2024","2.00","2.00","4.38","4,355,000.00"
"CVS CAREMARK CORP","Fixed Income","0.01","105.00","4,689,320.51","4,689,320.51","Industrial","BPYZYF8","US126650CF56","3.38","Aug 12, 2024","2.21","2.15","3.99","4,401,000.00"
"VIACOM INC (NEW)","Fixed Income","0.01","108.34","4,691,708.14","4,691,708.14","Industrial","BCHWWF1","US92553PAP71","4.38","Mar 15, 2043","3.83","3.83","14.61","4,267,000.00"
"HCP INC","Fixed Income","0.01","108.44","4,691,158.05","4,691,158.05","Financial Institutions","BXTSMF4","US40414LAN91","4.00","Jun 01, 2025","2.31","2.24","4.65","4,301,000.00"
"ENERGY TRANSFER PARTNERS LP","Fixed Income","0.01","103.76","4,691,509.97","4,691,509.97","Industrial","BWB92Y7","US29273RBF55","5.15","Mar 15, 2045","4.89","4.89","13.90","4,440,000.00"
"NOVARTIS CAPITAL CORP","Fixed Income","0.01","101.49","4,683,965.83","4,683,965.83","Industrial","BZ7NY93","US66989HAM07","2.40","May 17, 2022","1.74","1.71","2.16","4,594,000.00"
"AMERICAN INTERNATIONAL GROUP INC","Fixed Income","0.01","136.65","4,679,459.44","4,679,459.44","Financial Institutions","B1CYG08","US026874AZ07","6.25","May 01, 2036","3.32","3.32","11.06","3,387,000.00"
"ARCELORMITTAL","Fixed Income","0.01","103.10","4,680,890.95","4,680,890.95","Industrial","BKFH7S2","US03938LBB99","3.60","Jul 16, 2024","2.86","2.86","4.14","4,535,000.00"
"PNC BANK NATIONAL ASSOCIATION MTN","Fixed Income","0.01","100.49","4,679,317.17","4,679,317.17","Financial Institutions","BDGKYW4","US69353REW43","2.15","Apr 29, 2021","1.75","1.73","1.16","4,632,000.00"
"APPLIED MATERIALS INC","Fixed Income","0.01","125.63","4,675,210.00","4,675,210.00","Industrial","BYVBMC5","US038222AM71","4.35","Apr 01, 2047","2.97","2.95","16.74","3,680,000.00"
"DALLAS TX AREA RAPID TRAN","Fixed Income","0.01","143.09","4,676,364.87","4,676,364.87","Local Authority","B44G8J6","US235241LW42","5.02","Dec 01, 2048","2.70","2.70","16.22","3,250,000.00"
"CITIGROUP INC","Fixed Income","0.01","126.88","4,678,724.54","4,678,724.54","Financial Institutions","BYTHPH1","US172967JU60","4.65","Jul 30, 2045","3.12","3.12","15.77","3,622,000.00"
"ENTERPRISE PRODUCTS OPERATING LLC","Fixed Income","0.01","107.43","4,674,112.94","4,674,112.94","Industrial","BWWC4W7","US29379VBH50","3.70","Feb 15, 2026","2.37","2.32","5.23","4,284,000.00"
