Name|Asset Class|Weight|Price|Market Value|Notional Value|Sector_|SEDOL|ISIN|Coupon|Maturity_|YTM_|Yield to Worst|Duration|Par Value
GOLD9_14-9A AR2 144A|Fixed Income|0.26|100.16|16,707,942.75|16,707,942.75|ABS|--|US38123HAN44|2.88|Oct 29, 2029|2.87|2.87|0.25|16,680,000.00
KINDER MORGAN ENERGY PARTNERS LP|Fixed Income|0.25|100.15|16,349,949.54|16,349,949.54|Industrial|B4LVDV1|US494550BB13|6.85|Feb 15, 2020|3.26|3.26|0.05|15,830,000.00
DRSLF_13-26A AR 144A|Fixed Income|0.25|99.67|16,315,290.93|16,315,290.93|ABS|--|US26250UAQ85|2.73|Apr 15, 2029|2.83|2.83|0.21|16,350,000.00
FORD MOTOR CREDIT COMPANY LLC|Fixed Income|0.25|104.80|16,156,329.17|16,156,329.17|Industrial|B4LGX83|US345397VU41|5.88|Aug 02, 2021|2.60|2.60|1.41|15,000,000.00
ALLERGAN INC|Fixed Income|0.25|100.73|16,046,425.26|16,046,425.26|Industrial|B3W6T98|US018490AN28|3.38|Sep 15, 2020|2.18|2.18|0.61|15,732,000.00
MEXICO (UNITED MEXICAN STATES) (GO|Cash|0.25|0.53|15,960,458.29|15,960,458.29|Cash and/or Derivatives|--|MXBIGO000OG2|0.00|Apr 02, 2020|6.74|6.74|0.17|30,365,000.00
ENCANA CORP|Fixed Income|0.25|102.45|15,909,191.17|15,909,191.17|Industrial|B638NM5|US292505AJ36|3.90|Nov 15, 2021|2.49|2.28|1.49|15,407,000.00
HUNTINGTON NATIONAL BANK (THE)|Fixed Income|0.24|101.53|15,851,761.91|15,851,761.91|Financial Institutions|BD93QH9|US44644AAB35|2.50|Aug 07, 2022|1.87|1.85|2.35|15,430,000.00
NAVSL_20-A A1 144A|Fixed Income|0.24|100.00|15,700,000.00|15,700,000.00|ABS|--|US63941FAA49|2.33|Nov 15, 2068|2.20|2.20|0.08|15,700,000.00
VERIZON COMMUNICATIONS INC|Fixed Income|0.24|101.65|15,681,490.57|15,681,490.57|Industrial|BYZNVB9|US92343VDX91|2.89|Mar 16, 2022|2.02|2.02|0.14|15,373,000.00
GOLDMAN SACHS GROUP INC/THE MTN|Fixed Income|0.24|103.80|15,660,471.88|15,660,471.88|Financial Institutions|BGYY076|US38141EB818|3.51|Nov 29, 2023|2.38|2.38|0.15|15,000,000.00
DRIVE_19-2 A3|Fixed Income|0.24|100.57|15,648,582.12|15,648,582.12|ABS|--|US26208RAD70|3.04|Mar 15, 2023|1.87|1.87|0.48|15,540,000.00
DAIMLER FINANCE NORTH AMERICA LLC 144A|Fixed Income|0.24|100.10|15,604,660.74|15,604,660.74|Industrial|BDGKT07|US233851CX06|2.42|May 05, 2020|1.94|1.94|0.02|15,500,000.00
ATCLO_13-1A AR 144A|Fixed Income|0.24|100.02|15,499,097.11|15,499,097.11|ABS|--|US04941GAL23|2.73|Nov 17, 2027|2.63|2.63|0.05|15,411,000.00
CVS HEALTH CORP|Fixed Income|0.24|102.02|15,370,304.17|15,370,304.17|Industrial|B90QJ25|US126650BZ20|2.75|Dec 01, 2022|2.01|1.95|2.53|15,000,000.00
JPMORGAN CHASE & CO|Fixed Income|0.24|101.99|15,306,377.20|15,306,377.20|Financial Institutions|BYV6FY3|US46625HRW24|3.03|Oct 24, 2023|2.48|2.29|0.26|15,000,000.00
MORGAN STANLEY MTN|Fixed Income|0.24|101.43|15,294,493.75|15,294,493.75|Financial Institutions|BZ3FFF6|US61746BED47|2.63|Nov 17, 2021|1.81|1.81|1.75|15,000,000.00
WELLS FARGO & COMPANY|Fixed Income|0.24|101.81|15,279,950.00|15,279,950.00|Financial Institutions|BF348C1|US95000U2B83|2.63|Jul 22, 2022|1.87|1.87|2.39|15,000,000.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.24|101.27|15,258,685.00|15,258,685.00|Financial Institutions|BF6Q7J4|US38141GWK65|2.94|Jun 05, 2023|2.47|2.31|0.11|15,000,000.00
JPMORGAN CHASE & CO|Fixed Income|0.23|101.34|15,218,395.31|15,218,395.31|Financial Institutions|BYNXM30|US48128BAC54|2.83|Jan 15, 2023|2.35|2.11|0.22|15,000,000.00
AUSTRALIA AND NEW ZEALAND BANKING|Fixed Income|0.23|100.77|15,199,350.00|15,199,350.00|Financial Institutions|BYQ94W8|US05253JAK79|2.70|Nov 16, 2020|1.71|1.71|0.78|15,000,000.00
JPMORGAN CHASE BANK NA|Fixed Income|0.23|100.00|15,194,215.00|15,194,215.00|Financial Institutions|BF4VKF8|US48125LRK07|2.60|Feb 01, 2021|2.04|2.04|0.27|15,000,000.00
SKANDINAVISKA ENSKILDA BANKEN AB 144A|Fixed Income|0.23|100.73|15,161,200.10|15,161,200.10|Financial Institutions|--|US83051GAL23|2.53|Dec 12, 2022|2.19|2.19|0.13|15,000,000.00
WELLS FARGO & COMPANY MTN|Fixed Income|0.23|100.67|15,157,414.00|15,157,414.00|Financial Institutions|BZ5ZBL2|US94974BGR50|2.55|Dec 07, 2020|1.75|1.75|0.84|15,000,000.00
MORGAN STANLEY|Fixed Income|0.23|100.95|15,154,495.24|15,154,495.24|Financial Institutions|BYM4WX4|US61746BEE20|3.00|Jan 20, 2022|2.50|2.01|0.22|15,000,000.00
CIFC_14-4RA A1A 144A|Fixed Income|0.23|99.66|15,140,322.13|15,140,322.13|ABS|--|US12552FAC77|2.97|Oct 17, 2030|3.06|3.06|0.21|15,175,000.00
REGT6_16-1A AR 144A|Fixed Income|0.23|99.97|15,136,467.81|15,136,467.81|ABS|--|US75887NAL38|2.90|Jul 20, 2028|2.91|2.91|0.22|15,130,000.00
UBS AG (LONDON BRANCH) 144A|Fixed Income|0.23|100.50|15,135,489.42|15,135,489.42|Financial Institutions|BD25JT5|US902674XK19|2.45|Dec 01, 2020|1.84|1.78|0.75|15,000,000.00
FEDERATION DES CAISSES DESJARDINS MTN 144A|Fixed Income|0.23|100.32|15,131,912.85|15,131,912.85|Financial Institutions|BYZKXB4|US31429KAB98|2.25|Oct 30, 2020|1.82|1.82|0.74|15,000,000.00
WLAKE_19-3A A2 144A|Fixed Income|0.23|100.43|15,118,190.45|15,118,190.45|ABS|--|US96042HAC43|2.15|Feb 15, 2023|1.70|1.70|0.94|15,040,000.00
NORTHROP GRUMMAN CORP|Fixed Income|0.23|100.18|15,118,148.50|15,118,148.50|Industrial|BF15KJ7|US666807BL56|2.08|Oct 15, 2020|1.82|1.82|0.70|15,000,000.00
CAMPBELL SOUP COMPANY|Fixed Income|0.23|100.43|15,111,968.06|15,111,968.06|Industrial|BDVPYC4|US134429BC21|2.52|Mar 15, 2021|2.05|2.05|0.13|15,000,000.00
FORD MOTOR CREDIT COMPANY LLC MTN|Fixed Income|0.23|100.17|15,069,214.90|15,069,214.90|Industrial|BJP13R8|US34540RAC07|2.86|Sep 24, 2020|2.53|2.53|0.15|15,000,000.00
TYCO ELECTRONICS GROUP SA|Fixed Income|0.23|100.07|15,064,833.50|15,064,833.50|Industrial|--|US902133AV91|2.34|Jun 05, 2020|2.09|2.09|0.10|15,000,000.00
IMPERIAL BRANDS FINANCE PLC 144A|Fixed Income|0.23|100.35|15,063,695.85|15,063,695.85|Industrial|BYRYY99|US453140AD72|2.95|Jul 21, 2020|2.20|2.20|0.47|15,000,000.00
CARMX_19-1 A2A|Fixed Income|0.23|100.47|15,058,756.02|15,058,756.02|ABS|--|US14315NAH35|3.02|Jul 15, 2022|1.75|1.75|0.37|14,969,059.00
WELLS FARGO BANK NA FRN 7/23/21 MTN|Fixed Income|0.23|100.19|15,034,626.56|15,034,626.56|Financial Institutions|--|US94988J5Q67|2.31|Jul 23, 2021|2.17|1.91|0.23|15,000,000.00
MUFG BANK LTD (NEW YORK BRANCH)|Fixed Income|0.23|100.19|15,030,852.71|15,030,852.71|Financial Institutions|--|US55379WYA88|2.29|Jan 25, 2021|2.12|2.12|0.24|15,000,000.00
MSC_14-CPT A 144A|Fixed Income|0.23|101.78|14,777,326.69|14,777,326.69|CMBS|--|US61763QAA94|3.35|Jul 13, 2029|2.03|2.03|1.40|14,480,000.00
AERCAP IRELAND CAPITAL LTD / AERCA|Fixed Income|0.23|104.85|14,745,032.68|14,745,032.68|Financial Institutions|BYXJFP1|US00772BAM37|5.00|Oct 01, 2021|2.03|2.03|1.59|13,845,000.00
PFSFC_19-B A 144A|Fixed Income|0.23|100.05|14,670,353.31|14,670,353.31|ABS|--|US69335PDG72|2.23|Sep 15, 2023|2.18|2.18|0.05|14,650,000.00
GALXY_23A A 144A|Fixed Income|0.23|100.04|14,593,303.96|14,593,303.96|ABS|--|US36319TAA43|3.08|Apr 24, 2029|3.09|3.09|0.24|14,580,000.00
MBMOT_17-BA A 144A|Fixed Income|0.22|100.09|14,565,784.33|14,565,784.33|Financial Institutions|--|US58768UAH68|2.10|May 16, 2022|1.75|1.75|0.05|14,540,000.00
FORDF_17-2 A1|Fixed Income|0.22|100.22|14,563,715.73|14,563,715.73|ABS|--|US34528QFP46|2.16|Sep 15, 2022|1.67|1.67|0.45|14,518,000.00
SRALT_19-B A2B 144A|Fixed Income|0.22|100.14|14,280,883.60|14,280,883.60|ABS|--|US80281GAC06|2.01|Apr 20, 2022|1.91|1.91|0.06|14,253,225.00
TYSON FOODS INC|Fixed Income|0.22|100.12|14,241,687.66|14,241,687.66|Industrial|BF1D8R5|US902494BE29|2.34|Aug 21, 2020|2.04|2.04|0.06|14,160,000.00
NEXTERA ENERGY CAPITAL HOLDINGS IN|Fixed Income|0.22|102.20|14,096,214.26|14,096,214.26|Utility|BJWZHP9|US65339KBF66|2.90|Apr 01, 2022|1.86|1.86|2.08|13,665,000.00
BMW US CAPITAL LLC 144A|Fixed Income|0.22|100.78|13,976,523.34|13,976,523.34|Industrial|BFZJ095|US05565EBA29|3.25|Aug 14, 2020|1.79|1.79|0.53|13,665,000.00
AMCAR_18-3 A2A|Fixed Income|0.22|100.23|13,965,416.69|13,965,416.69|ABS|--|US03066MAB28|3.11|Jan 18, 2022|1.91|1.91|0.19|13,918,918.00
LCM_20A AR 144A|Fixed Income|0.21|100.05|13,767,130.88|13,767,130.88|ABS|--|US50188WAE84|2.86|Oct 20, 2027|2.84|2.84|0.22|13,750,000.00
BBCMS_13-TYSN A2 144A|Fixed Income|0.21|100.57|13,612,093.79|13,612,093.79|CMBS|--|US05529SAC35|3.76|Sep 05, 2032|2.75|2.75|0.59|13,495,000.00
WFRBS_12-C6 AS|Fixed Income|0.21|103.32|13,456,761.88|13,456,761.88|CMBS|--|US92936QBC15|3.84|Apr 15, 2045|1.90|1.90|1.74|12,986,065.00
MARSH & MCLENNAN COMPANIES INC|Fixed Income|0.21|100.09|13,428,590.03|13,428,590.03|Financial Institutions|BJ2NYG3|US571748BK77|3.16|Dec 29, 2021|2.99|2.06|0.08|13,380,000.00
AT&T INC|Fixed Income|0.21|100.68|13,397,796.21|13,397,796.21|Industrial|BF4T9M2|US00206RFZ01|2.66|Jun 01, 2021|2.05|2.05|0.09|13,250,000.00
CIFC_15-2AR A 144A|Fixed Income|0.20|99.85|13,148,664.86|13,148,664.86|ABS|--|US12550LAJ17|2.61|Apr 15, 2027|2.69|2.69|0.21|13,153,917.00
TAKEDA PHARMACEUTICAL CO LTD|Fixed Income|0.20|103.58|12,968,350.97|12,968,350.97|Industrial|--|US874060AQ96|4.00|Nov 26, 2021|1.99|1.90|1.67|12,435,000.00
SVENSKA HANDELSBANKEN AB MTN|Fixed Income|0.19|100.47|12,613,155.21|12,613,155.21|Financial Institutions|BFY2QS6|US86960BAU61|2.38|May 24, 2021|1.91|1.91|0.07|12,500,000.00
JPMORGAN CHASE & CO|Fixed Income|0.19|100.52|12,602,952.05|12,602,952.05|Financial Institutions|--|US46647PAT30|2.51|Jun 18, 2022|2.20|2.18|0.14|12,500,000.00
BACCT_18-A3 A3|Fixed Income|0.19|102.20|12,570,867.86|12,570,867.86|ABS|--|US05522RDA32|3.10|Dec 15, 2023|1.58|1.58|1.41|12,285,000.00
CNH_17-B A3|Fixed Income|0.19|100.02|12,485,340.59|12,485,340.59|ABS|--|US12637BAD38|1.86|Sep 15, 2022|1.82|1.82|0.55|12,472,599.00
VFET_19-1A A2 144A|Fixed Income|0.19|100.39|12,477,092.28|12,477,092.28|ABS|--|US92888DAB10|2.90|Nov 15, 2021|1.97|1.97|0.41|12,413,637.00
MOODYS CORPORATION|Fixed Income|0.19|101.71|12,400,016.62|12,400,016.62|Industrial|BF00KS2|US615369AG02|2.75|Dec 15, 2021|1.82|1.77|1.75|12,150,000.00
SLMA_06-B A5|Fixed Income|0.19|97.96|12,391,818.78|12,391,818.78|ABS|BF6DYP0|US78443CCU62|2.16|Dec 15, 2039|2.61|2.61|0.11|12,614,705.00
SLMA_04-B A3|Fixed Income|0.19|99.61|12,252,425.87|12,252,425.87|ABS|--|US78443CBN39|2.22|Mar 15, 2024|2.34|2.34|0.13|12,265,942.00
HYUNDAI CAPITAL AMERICA MTN 144A|Fixed Income|0.19|100.06|12,242,113.62|12,242,113.62|Industrial|BD49HM4|US44891AAL17|2.55|Apr 03, 2020|2.17|2.17|0.17|12,134,000.00
HLA_15-2AR AR 144A|Fixed Income|0.19|99.80|12,230,454.41|12,230,454.41|ABS|--|US40538KAL61|2.87|Jul 25, 2027|3.07|3.07|0.24|12,251,450.00
BMW FINANCE NV 144A|Fixed Income|0.19|100.87|12,228,660.00|12,228,660.00|Industrial|BJXC0M7|US05600LAA44|2.25|Aug 12, 2022|1.90|1.90|2.43|12,000,000.00
CGDBB_17-BIOC A 144A|Fixed Income|0.19|100.07|12,170,778.75|12,170,778.75|CMBS|--|US125282AA10|2.47|Jul 15, 2032|2.43|2.43|0.05|12,150,127.00
PENSKE TRUCK LEASING COMPANY LP / 144A|Fixed Income|0.19|100.47|12,072,301.36|12,072,301.36|Industrial|BYRYYD3|US709599AU80|3.20|Jul 15, 2020|2.16|1.94|0.37|12,000,000.00
HAROT 2017-2 A-3|Fixed Income|0.19|99.98|11,988,677.65|11,988,677.65|ABS|--|US43811BAC81|1.68|Aug 16, 2021|1.73|1.73|0.39|11,982,503.00
AOA_15-1177-A A 144A|Fixed Income|0.18|101.02|11,983,972.21|11,983,972.21|CMBS|BVL8V40|US00183HAA95|2.96|Dec 13, 2029|2.36|2.36|1.81|11,835,000.00
SHERWIN-WILLIAMS COMPANY (THE)|Fixed Income|0.18|102.15|11,890,742.15|11,890,742.15|Industrial|BDGKSR7|US824348AU08|2.75|Jun 01, 2022|1.80|1.77|2.18|11,589,000.00
BLUEM_12-2A AR2 144A|Fixed Income|0.18|99.79|11,351,931.79|11,351,931.79|ABS|--|US09626RAW51|2.95|Nov 20, 2028|2.97|2.97|0.06|11,310,000.00
BBCMS_19-BWAY A 144A|Fixed Income|0.17|99.69|11,282,259.66|11,282,259.66|CMBS|--|US05492NAA19|2.63|Nov 15, 2034|2.69|2.69|0.04|11,305,000.00
TELUS CORP|Cash|0.17|99.50|11,193,415.31|11,193,415.31|Cash and/or Derivatives|--|--|0.00|May 08, 2020|1.84|1.84|0.27|11,250,000.00
FTST_06-4TS A 144A|Fixed Income|0.17|102.15|11,019,826.65|11,019,826.65|CMBS|--|US350910AN50|5.40|Dec 13, 2028|2.84|2.84|0.83|10,757,694.00
HAROT_18-4 A2|Fixed Income|0.17|100.32|11,012,356.97|11,012,356.97|ABS|--|US43815AAB89|2.98|May 17, 2021|1.70|1.70|0.25|10,963,366.00
KINDER MORGAN INC/DELAWARE 144A|Fixed Income|0.16|102.85|10,513,866.67|10,513,866.67|Industrial|BG6X134|US49456BAA98|5.00|Feb 15, 2021|2.22|1.99|0.92|10,000,000.00
BANC_19-CRE5 A 144A|Fixed Income|0.16|100.00|10,438,392.39|10,438,392.39|CMBS|--|US05972MAA27|2.68|Mar 15, 2036|2.67|2.67|0.04|10,426,779.00
ENTERPRISE PRODUCTS OPERATING LLC|Fixed Income|0.16|101.88|10,403,022.22|10,403,022.22|Industrial|B4NHZR7|US29379VAP85|5.20|Sep 01, 2020|1.96|1.96|0.57|10,000,000.00
ALLERGAN FUNDING SCS|Fixed Income|0.16|102.70|10,399,075.00|10,399,075.00|Industrial|BW9RTN1|US00507UAR23|3.45|Mar 15, 2022|2.14|2.04|1.88|10,000,000.00
VNDO_13-PENN A 144A|Fixed Income|0.16|100.96|10,329,153.99|10,329,153.99|CMBS|BJSP1H3|US91830MAA45|3.81|Dec 13, 2029|2.56|2.56|0.85|10,200,000.00
BARCLAYS BANK PLC (NEW YORK BRANCH|Cash|0.16|100.00|10,324,871.29|10,324,871.29|Cash and/or Derivatives|--|--|3.20|Jan 31, 2020|1.61|1.61|0.00|10,000,000.00
HSBC BANK PLC 144A|Fixed Income|0.16|101.18|10,310,197.10|10,310,197.10|Financial Institutions|B4VBP71|US44328MAC82|4.13|Aug 12, 2020|1.90|1.90|0.52|10,000,000.00
CREDIT SUISSE GROUP AG 144A|Fixed Income|0.16|102.83|10,303,748.33|10,303,748.33|Financial Institutions|BDDXT87|US225401AB47|3.57|Jan 09, 2023|2.57|2.08|1.92|10,000,000.00
SLMA_05-A A4|Fixed Income|0.16|97.82|10,299,790.59|10,299,790.59|ABS|BFTD6J5|US78443CBV54|2.20|Dec 15, 2038|2.68|2.68|0.09|10,500,000.00
JPMORGAN CHASE & CO|Fixed Income|0.16|101.72|10,295,858.33|10,295,858.33|Financial Institutions|B4MPT58|US46625HHU77|4.25|Oct 15, 2020|1.79|1.79|0.69|10,000,000.00
REYNOLDS AMERICAN INC|Fixed Income|0.16|101.21|10,290,865.28|10,290,865.28|Industrial|BD5JJH2|US761713BT27|6.88|May 01, 2020|2.03|2.03|0.25|10,000,000.00
DEUTSCHE BANK AG (NEW YORK BRANCH)|Fixed Income|0.16|101.79|10,288,499.59|10,288,499.59|Financial Institutions|BF19XZ6|US25160PAC14|4.25|Feb 04, 2021|2.44|2.44|0.98|9,905,000.00
BPCE SA MTN 144A|Fixed Income|0.16|102.24|10,280,866.67|10,280,866.67|Financial Institutions|BDS6RL0|US05583JAA07|3.00|May 22, 2022|2.00|2.00|2.22|10,000,000.00
CAPITAL ONE FINANCIAL CORPORATION|Fixed Income|0.16|101.90|10,276,350.00|10,276,350.00|Financial Institutions|BD0RS18|US14040HBY09|3.45|Apr 30, 2021|1.90|1.80|1.21|10,000,000.00
SUNTRUST BANK|Fixed Income|0.16|102.16|10,273,177.78|10,273,177.78|Financial Institutions|BJXKL17|US86787EBE68|2.80|May 17, 2022|1.83|1.80|2.14|10,000,000.00
BAYER US FINANCE LLC 144A|Fixed Income|0.16|101.79|10,272,133.33|10,272,133.33|Industrial|BRGCMF7|US07274EAF07|3.00|Oct 08, 2021|1.92|1.92|1.63|10,000,000.00
HSBC HOLDINGS PLC|Fixed Income|0.16|101.89|10,254,340.83|10,254,340.83|Financial Institutions|BZ019R7|US404280AZ20|3.57|May 25, 2021|2.02|2.02|0.08|10,000,000.00
GOLDMAN SACHS GROUP INC/THE|Fixed Income|0.16|101.68|10,235,157.50|10,235,157.50|Financial Institutions|BYYLJ98|US38143U8G98|3.68|Feb 25, 2021|2.02|2.02|0.08|10,000,000.00
AT&T INC|Fixed Income|0.16|101.89|10,230,748.68|10,230,748.68|Industrial|--|US00206RGD89|3.07|Jun 12, 2024|2.54|2.54|0.16|10,000,000.00
HEWLETT PACKARD ENTERPRISE CO|Fixed Income|0.16|100.98|10,202,800.00|10,202,800.00|Industrial|BYXLFX5|US42824CAG42|3.60|Oct 15, 2020|2.20|2.02|0.61|10,000,000.00
UNITED TECHNOLOGIES CORP|Fixed Income|0.16|100.52|10,183,249.00|10,183,249.00|Industrial|B3N3KV7|US913017BR94|4.50|Apr 15, 2020|1.97|1.97|0.21|10,000,000.00
GILEAD SCIENCES INC|Fixed Income|0.16|100.40|10,145,941.67|10,145,941.67|Industrial|BYMYP68|US375558BB81|2.55|Sep 01, 2020|1.85|1.85|0.58|10,000,000.00
SANTANDER UK GROUP HOLDINGS PLC MTN|Fixed Income|0.16|101.17|10,135,597.22|10,135,597.22|Financial Institutions|BD0SY57|US80281LAD73|3.13|Jan 08, 2021|1.87|1.87|0.93|10,000,000.00
BANK OF NOVA SCOTIA|Fixed Income|0.16|100.98|10,127,628.17|10,127,628.17|Financial Institutions|BF0GGY8|US064159KE56|2.52|Sep 19, 2022|2.05|2.05|0.15|10,000,000.00
BAT CAPITAL CORP|Fixed Income|0.16|100.69|10,127,497.47|10,127,497.47|Industrial|BG5QTV8|US05526DAX30|2.79|Aug 15, 2022|2.41|2.40|0.07|10,000,000.00
BANCO SANTANDER SA|Fixed Income|0.16|101.13|10,127,014.99|10,127,014.99|Financial Institutions|BD85LX7|US05964HAH84|2.97|Apr 12, 2023|2.57|2.57|0.22|10,000,000.00
AMERICAN EXPRESS COMPANY|Fixed Income|0.16|100.64|10,123,095.28|10,123,095.28|Financial Institutions|BG1XG89|US025816BZ17|2.49|Nov 05, 2021|2.04|2.01|0.02|10,000,000.00
ROYAL BANK OF SCOTLAND GROUP PLC|Fixed Income|0.16|101.51|10,114,721.47|10,114,721.47|Financial Institutions|BDT74Z5|US780097BF78|3.38|May 15, 2023|2.81|2.60|0.07|9,895,000.00
JPMORGAN CHASE & CO|Fixed Income|0.16|101.10|10,112,445.11|10,112,445.11|Financial Institutions|BF1ZB72|US46647PAD87|2.69|Apr 25, 2023|2.35|2.20|0.25|10,000,000.00
COOPERATIEVE RABOBANK UA 144A|Fixed Income|0.16|100.73|10,099,230.06|10,099,230.06|Financial Institutions|--|US74977RDD35|2.81|Sep 26, 2023|2.47|2.47|0.17|10,000,000.00
CITIGROUP INC|Fixed Income|0.16|100.96|10,097,870.11|10,097,870.11|Financial Institutions|BYWG520|US172967LR04|2.48|Oct 27, 2022|2.13|2.12|0.25|10,000,000.00
CVS HEALTH CORP|Fixed Income|0.16|100.55|10,092,927.78|10,092,927.78|Industrial|BF4JKM9|US126650DD99|2.61|Mar 09, 2021|2.03|2.03|0.11|10,000,000.00
SKANDINAVISKA ENSKILDA BANKEN AB MTN 144A|Fixed Income|0.16|100.33|10,080,331.97|10,080,331.97|Financial Institutions|BZ19F49|US83051GAH11|2.33|May 17, 2021|1.97|1.97|0.05|10,000,000.00
BANK OF AMERICA CORP MTN|Fixed Income|0.16|100.54|10,078,123.73|10,078,123.73|Financial Institutions|--|US06051GHJ13|2.60|Jun 25, 2022|2.24|2.08|0.15|10,000,000.00
MARRIOTT INTERNATIONAL INC|Fixed Income|0.16|100.32|10,072,784.98|10,072,784.98|Industrial|BGLFXR3|US571903AZ64|2.51|Dec 01, 2020|2.04|2.04|0.09|10,000,000.00
MORGAN STANLEY|Fixed Income|0.16|100.37|10,071,322.22|10,071,322.22|Financial Institutions|BWVF3X1|US61761JB325|2.80|Jun 16, 2020|1.81|1.81|0.37|10,000,000.00
UNITEDHEALTH GROUP INC|Fixed Income|0.16|100.40|10,051,550.00|10,051,550.00|Financial Institutions|BYTRVW8|US91324PCM23|2.70|Jul 15, 2020|1.81|1.81|0.45|10,000,000.00
MITSUBISHI UFJ FINANCIAL GROUP INC|Fixed Income|0.16|100.50|10,051,536.78|10,051,536.78|Financial Institutions|BFLT9R0|US606822AX27|2.44|Jul 26, 2021|2.11|2.11|0.24|10,000,000.00
JPMORGAN CHASE BANK NA|Fixed Income|0.16|100.04|10,049,752.60|10,049,752.60|Financial Institutions|BJH18F9|US48125LRS33|2.27|Feb 19, 2021|2.14|2.14|0.06|10,000,000.00
SIEMENS FINANCIERINGSMAATSCHAPPIJ 144A|Fixed Income|0.16|100.10|10,047,286.00|10,047,286.00|Industrial|BYZPKH4|US82620KAC71|2.15|May 27, 2020|1.84|1.84|0.32|10,000,000.00
OZLM_15-14A A1AR 144A|Fixed Income|0.15|99.96|10,043,090.76|10,043,090.76|ABS|--|US67110HBC16|2.99|Jan 15, 2029|2.99|2.99|0.21|10,035,000.00
FIFTH THIRD BANCORP|Fixed Income|0.15|100.40|10,042,695.83|10,042,695.83|Financial Institutions|BYY9M59|US316773CT59|2.88|Jul 27, 2020|2.05|1.88|0.40|10,000,000.00
CATERPILLAR FINANCIAL SERVICES COR|Fixed Income|0.15|99.90|10,040,824.76|10,040,824.76|Industrial|BDC5597|US14913Q2M07|2.42|May 15, 2023|2.34|2.34|0.05|10,000,000.00
AMERICAN EXPRESS CREDIT CORPORATIO MTN|Fixed Income|0.15|100.00|10,037,627.50|10,037,627.50|Financial Institutions|BF03VT9|US0258M0EF29|2.34|Mar 03, 2020|2.33|2.33|0.09|10,000,000.00
AMERICAN HONDA FINANCE CORPORATION MTN|Fixed Income|0.15|100.09|10,036,319.38|10,036,319.38|Industrial|BGCS6V6|US02665WCG42|2.15|Jun 16, 2020|1.85|1.85|0.13|10,000,000.00
CAPITAL ONE BANK USA NA|Fixed Income|0.15|100.30|10,031,419.89|10,031,419.89|Financial Institutions|--|US14042TCS42|2.01|Jan 27, 2023|1.96|1.86|1.96|10,000,000.00
BANQUE FEDERATIVE DU CREDIT MUTUEL MTN 144A|Fixed Income|0.15|100.18|10,023,951.01|10,023,951.01|Financial Institutions|BF42BY7|US06675FAK30|2.20|Jul 20, 2020|1.82|1.82|0.47|10,000,000.00
BACCT_17-A2 A2|Fixed Income|0.15|100.07|10,014,402.67|10,014,402.67|ABS|--|US05522RCX44|1.84|Jan 17, 2023|1.72|1.72|0.53|10,000,000.00
FIFTH THIRD BANK MTN|Fixed Income|0.15|100.09|10,008,999.00|10,008,999.00|Financial Institutions|BDBRF16|US31677QBL23|2.02|Oct 30, 2020|1.92|1.89|0.25|10,000,000.00
BBCMS_19-CLP A 144A|Fixed Income|0.15|99.72|9,996,722.06|9,996,722.06|CMBS|--|US05492GAA67|2.36|Dec 15, 2031|2.43|2.43|0.04|10,012,295.00
CONAGRA BRANDS INC|Fixed Income|0.15|100.01|9,951,236.91|9,951,236.91|Industrial|BF1B2T9|US205887BX94|2.55|Oct 22, 2020|2.55|2.33|0.06|9,945,000.00
PSTAT_18-4A A1 144A|Fixed Income|0.15|100.09|9,946,313.70|9,946,313.70|ABS|--|US69700KAA16|2.81|Nov 15, 2026|2.64|2.64|0.06|9,878,397.00
DUKE ENERGY PROGRESS LLC|Fixed Income|0.15|100.08|9,872,596.04|9,872,596.04|Utility|BF6SRM3|US26442UAD63|2.06|Sep 08, 2020|1.86|1.86|0.11|9,835,000.00
ANCHC_15-7A AR 144A|Fixed Income|0.15|100.07|9,840,813.92|9,840,813.92|ABS|--|US03328TAQ85|2.79|Oct 15, 2027|2.72|2.72|0.21|9,822,651.00
ANTHEM INC|Fixed Income|0.15|102.92|9,761,947.68|9,761,947.68|Financial Institutions|B87XCR8|US94973VAX55|3.13|May 15, 2022|1.82|1.82|2.20|9,425,000.00
LNCR_18_CRE1 A 144A|Fixed Income|0.15|100.00|9,461,036.38|9,461,036.38|ABS|--|US53946MAA53|2.81|May 15, 2028|3.19|3.19|0.02|9,450,000.00
CARMX_16-2 A4|Fixed Income|0.15|99.98|9,440,535.29|9,440,535.29|ABS|--|US14314MAD56|1.68|Sep 15, 2021|1.76|1.76|0.26|9,435,792.00
TRUIST FINANCIAL CORP MTN|Fixed Income|0.15|99.88|9,420,203.14|9,420,203.14|Financial Institutions|BD0TX53|US05531FAW32|2.46|Jun 15, 2020|2.71|2.71|0.13|9,403,000.00
LLOYDS TSB BANK PLC|Fixed Income|0.15|104.48|9,417,723.75|9,417,723.75|Financial Institutions|B3VJCJ9|US539473AH14|6.38|Jan 21, 2021|1.72|1.72|0.95|9,000,000.00
GENERAL MILLS INC|Fixed Income|0.14|101.83|9,373,058.10|9,373,058.10|Industrial|BF22YJ5|US370334CA00|2.60|Oct 12, 2022|1.90|1.88|2.53|9,135,000.00
