Name,AssetClass,Weight,Price,MarketValue,NotionalValue,Sector,SEDOL,ISIN,Coupon,Maturity,YTM,Yield to Worst,Duration,Par Value
KRAFT HEINZ FOODS CO 144A,Fixed Income,0.06,107.91,1198830.53,1198830.53,Consumer Non-Cyclical,BK90KN3,US50077LAY20,4.88,"Oct 01, 2049",4.39,4.39,15.73,1095000.00
SINOPEC GROUP OVERSEAS DEVELOPMENT 144A,Fixed Income,0.06,120.98,1195623.08,1195623.08,Owned No Guarantee,--,US82939GAD07,4.60,"Sep 12, 2048",3.44,3.44,16.68,975000.00
VIACOM INC (NEW),Fixed Income,0.06,107.99,1193744.26,1193744.26,Communications,BCHWWF1,US92553PAP71,4.38,"Mar 15, 2043",3.85,3.85,14.60,1090000.00
PETROLEOS MEXICANOS,Fixed Income,0.06,90.81,1191718.30,1191718.30,Owned No Guarantee,B8NVFC2,US71654QBE17,5.50,"Jun 27, 2044",6.24,6.24,12.79,1307000.00
JM SMUCKER CO/THE,Fixed Income,0.06,109.83,1191056.54,1191056.54,Consumer Non-Cyclical,BYXK0S2,US832696AM09,4.25,"Mar 15, 2035",3.41,3.41,11.21,1070000.00
DEERE & CO,Fixed Income,0.06,115.32,1190126.05,1190126.05,Capital Goods,B87L119,US244199BF15,3.90,"Jun 09, 2042",2.96,2.95,15.19,1028000.00
HASBRO INC,Fixed Income,0.06,102.49,1189441.70,1189441.70,Consumer Non-Cyclical,BMJ71B3,US418056AU19,5.10,"May 15, 2044",4.92,4.92,13.79,1150000.00
COMCAST CORP,Fixed Income,0.06,116.89,1188261.66,1188261.66,Communications,BPYD9Q8,US20030NBM20,4.20,"Aug 15, 2034",2.78,2.74,10.84,1001000.00
CME GROUP INC,Fixed Income,0.06,138.54,1187724.21,1187724.21,Brokerage/Asset Managers/Exchanges,BDDY861,US12572QAF28,5.30,"Sep 15, 2043",3.01,2.98,14.64,846000.00
RAYMOND JAMES FINANCIAL INC.,Fixed Income,0.06,120.47,1187438.30,1187438.30,Brokerage/Asset Managers/Exchanges,BYP6KY4,US754730AF69,4.95,"Jul 15, 2046",3.73,3.73,15.67,985000.00
AT&T INC,Fixed Income,0.06,117.79,1187298.28,1187298.28,Communications,BHQHNC6,US00206RFW79,4.90,"Aug 15, 2037",3.53,3.51,11.90,990000.00
EXXON MOBIL CORP,Fixed Income,0.06,109.64,1186333.76,1186333.76,Energy,BW9RTS6,US30231GAN25,3.57,"Mar 06, 2045",3.02,3.01,16.53,1069000.00
FLORIDA POWER AND LIGHT CO,Fixed Income,0.06,141.84,1186144.71,1186144.71,Electric,B2Q0F35,US341081FA03,5.95,"Feb 01, 2038",2.94,2.94,12.01,820000.00
APACHE CORPORATION,Fixed Income,0.06,104.73,1184520.15,1184520.15,Energy,B58CQJ3,US037411AW56,5.10,"Sep 01, 2040",4.74,4.73,12.59,1110000.00
UNITED TECHNOLOGIES CORP,Fixed Income,0.06,140.16,1184462.31,1184462.31,Capital Goods,B62ZR69,US913017BS77,5.70,"Apr 15, 2040",3.03,3.03,13.18,836000.00
BANK OF AMERICA CORP,Fixed Income,0.06,130.72,1183275.78,1183275.78,Banking,BL2FPR1,US06051GFG91,4.88,"Apr 01, 2044",3.07,3.07,15.24,895000.00
BURLINGTON NORTHERN SANTA FE LLC,Fixed Income,0.06,124.67,1182767.12,1182767.12,Transportation,BYV3D84,US12189LAX91,4.70,"Sep 01, 2045",3.27,3.25,15.58,935000.00
TIME WARNER CABLE INC,Fixed Income,0.06,135.35,1182410.34,1182410.34,Communications,B3B14R7,US88732JAN81,7.30,"Jul 01, 2038",4.47,4.47,11.33,871000.00
NEWMONT MINING CORP,Fixed Income,0.06,120.43,1182245.30,1182245.30,Basic Industry,B7J8X60,US651639AP18,4.88,"Mar 15, 2042",3.54,3.52,13.96,968000.00
CORPORACION NACIONAL DEL COBRE DE 144A,Fixed Income,0.06,110.39,1181387.71,1181387.71,Owned No Guarantee,BF3SXQ2,US21987BAX64,4.50,"Aug 01, 2047",3.88,3.88,15.81,1050000.00
UNITEDHEALTH GROUP INC,Fixed Income,0.06,116.54,1180284.09,1180284.09,Insurance,B97GZH5,US91324PCD24,4.25,"Mar 15, 2043",3.23,3.22,14.98,1000000.00
BURLINGTON NORTHERN SANTA FE LLC,Fixed Income,0.06,121.80,1180056.97,1180056.97,Transportation,BQ11MP2,US12189LAU52,4.55,"Sep 01, 2044",3.26,3.24,15.31,955000.00
CIGNA CORP 144A,Fixed Income,0.06,104.60,1179917.24,1179917.24,Consumer Non-Cyclical,BKPMPP0,US125523BJ84,3.88,"Oct 15, 2047",3.61,3.61,16.80,1117000.00
TRANSCANADA PIPELINES,Fixed Income,0.06,152.60,1177554.09,1177554.09,Energy,B3KV7R9,US8935268Z94,7.63,"Jan 15, 2039",3.73,3.73,11.77,771000.00
NORFOLK SOUTHERN CORPORATION,Fixed Income,0.06,115.46,1176986.30,1176986.30,Transportation,BYWJDT2,US655844BY34,4.15,"Feb 28, 2048",3.30,3.29,16.89,1005000.00
CONAGRA BRANDS INC,Fixed Income,0.06,126.31,1173051.41,1173051.41,Consumer Non-Cyclical,BFWSC66,US205887CE05,5.40,"Nov 01, 2048",3.88,3.86,15.74,920000.00
SUNCOR ENERGY INC,Fixed Income,0.06,111.93,1171678.59,1171678.59,Energy,BD5W818,US867224AB33,4.00,"Nov 15, 2047",3.34,3.33,17.01,1040000.00
WESTPAC BANKING CORP,Fixed Income,0.06,112.11,1171364.10,1171364.10,Banking,--,US961214EG45,4.42,"Jul 24, 2039",3.56,3.56,13.16,1025000.00
DTE ELECTRIC COMPANY,Fixed Income,0.06,116.10,1170488.78,1170488.78,Electric,BJ68680,US23338VAJ52,3.95,"Mar 01, 2049",3.11,3.10,17.63,995000.00
HEWLETT PACKARD ENTERPRISE CO,Fixed Income,0.06,126.86,1169845.20,1169845.20,Technology,BDCT8F6,US42824CAY57,6.35,"Oct 15, 2045",4.56,4.55,13.75,910000.00
SUNCOR ENERGY INC,Fixed Income,0.06,145.48,1169421.59,1169421.59,Energy,B2RJ2C9,US71644EAJ10,6.80,"May 15, 2038",3.43,3.43,11.78,797000.00
KINDER MORGAN ENERGY PARTNERS LP,Fixed Income,0.06,133.36,1167890.45,1167890.45,Energy,B1Z54W6,US494550AW68,6.95,"Jan 15, 2038",4.27,4.27,11.36,875000.00
OCCIDENTAL PETROLEUM COR,Fixed Income,0.06,103.74,1167648.18,1167648.18,Energy,BDBFN16,US674599CJ22,4.40,"Apr 15, 2046",4.16,4.16,15.37,1113000.00
MIDAMERICAN ENERGY COMPANY,Fixed Income,0.06,121.61,1166423.70,1166423.70,Electric,BL9FK80,US595620AN51,4.40,"Oct 15, 2044",3.14,3.12,15.63,950000.00
ELECTRICITE DE FRANCE SA 144A,Fixed Income,0.06,116.42,1165371.24,1165371.24,Owned No Guarantee,BYXVW12,US268317AP93,4.75,"Oct 13, 2035",3.39,3.36,11.17,990000.00
CBS CORP,Fixed Income,0.06,112.82,1162824.74,1162824.74,Communications,BD5JWW8,US124857AN39,4.60,"Jan 15, 2045",3.80,3.79,15.24,1030000.00
BOSTON SCIENTIFIC CORPORATION,Fixed Income,0.06,123.83,1162318.52,1162318.52,Consumer Non-Cyclical,--,US101137AU14,4.70,"Mar 01, 2049",3.40,3.39,16.68,925000.00
CITIGROUP INC,Fixed Income,0.06,142.42,1157338.52,1157338.52,Banking,B7N9B65,US172967FX46,5.88,"Jan 30, 2042",3.18,3.18,13.65,797000.00
COMCAST CORPORATION,Fixed Income,0.06,113.08,1153904.46,1153904.46,Communications,BF22PR0,US20030NBZ33,4.00,"Aug 15, 2047",3.28,3.27,16.83,1005000.00
COMMONWEALTH BANK OF AUSTRALIA 144A,Fixed Income,0.06,112.85,1152450.78,1152450.78,Banking,BD71PR8,US202712BJ33,4.32,"Jan 10, 2048",3.58,3.58,16.75,1020000.00
FEDEX CORP,Fixed Income,0.06,109.81,1151057.79,1151057.79,Transportation,BYRP878,US31428XBE58,4.75,"Nov 15, 2045",4.13,4.12,15.06,1040000.00
JOHNSON & JOHNSON,Fixed Income,0.06,110.88,1149590.80,1149590.80,Consumer Non-Cyclical,BD31B74,US478160BU72,3.55,"Mar 01, 2036",2.71,2.69,12.14,1024000.00
DUKE ENERGY CORP,Fixed Income,0.06,113.96,1149568.06,1149568.06,Electric,BJT8PG8,US26441CBF14,4.20,"Jun 15, 2049",3.44,3.43,17.33,1005000.00
MIDAMERICAN ENERGY CO,Fixed Income,0.06,126.74,1149359.87,1149359.87,Electric,BDWGXK7,US595620AL95,4.80,"Sep 15, 2043",3.18,3.16,14.83,895000.00
PROGRESSIVE CORPORATION (THE),Fixed Income,0.06,120.78,1149164.97,1149164.97,Insurance,BG0T5R0,US743315AT02,4.20,"Mar 15, 2048",3.09,3.08,17.09,940000.00
MICROSOFT CORP,Fixed Income,0.06,111.93,1146083.65,1146083.65,Technology,BVWXT28,US594918BC73,3.50,"Feb 12, 2035",2.54,2.52,11.55,1010000.00
SUZANO AUSTRIA GMBH 144A,Fixed Income,0.06,120.01,1144856.59,1144856.59,Basic Industry,BF0P5Z9,US86964WAB81,7.00,"Mar 16, 2047",5.56,5.55,12.97,935000.00
JOHNSON & JOHNSON,Fixed Income,0.06,111.28,1143625.15,1143625.15,Consumer Non-Cyclical,BF01Z57,US478160CF96,3.63,"Mar 03, 2037",2.79,2.77,12.64,1015000.00
CHARTER COMMUNICATIONS OPERATING L,Fixed Income,0.06,106.91,1140128.80,1140128.80,Communications,--,US161175BT05,4.80,"Mar 01, 2050",4.38,4.38,15.95,1055000.00
DIAGEO INVESTMENT CORPORATION,Fixed Income,0.06,119.73,1139271.82,1139271.82,Consumer Non-Cyclical,B84XVZ2,US25245BAA52,4.25,"May 11, 2042",3.03,3.03,14.95,945000.00
ALCAN INC,Fixed Income,0.06,141.41,1138618.72,1138618.72,Basic Industry,2757638,US013716AQ81,7.25,"Mar 15, 2031",2.88,2.88,8.18,791000.00
CITIGROUP INC,Fixed Income,0.06,130.46,1138026.27,1138026.27,Banking,BM6NVB4,US172967HS33,5.30,"May 06, 2044",3.44,3.44,14.80,865000.00
CENOVUS ENERGY INC,Fixed Income,0.06,116.51,1137768.58,1137768.58,Energy,BFNL6J5,US15135UAR05,5.40,"Jun 15, 2047",4.36,4.35,14.98,972000.00
ALEXANDRIA REAL ESTATE EQUITIES IN,Fixed Income,0.06,116.44,1137863.60,1137863.60,Reits,--,US015271AN94,4.70,"Jul 01, 2030",2.87,2.83,8.33,975000.00
NATIONAL OILWELL VARCO INC.,Fixed Income,0.06,96.96,1136962.50,1136962.50,Energy,B91PBL4,US637071AK74,3.95,"Dec 01, 2042",4.16,4.16,14.65,1166000.00
CONSOLIDATED EDISON CO OF NEW YORK,Fixed Income,0.06,119.00,1132057.42,1132057.42,Electric,BJZD6Q4,US209111FD03,4.45,"Mar 15, 2044",3.30,3.29,15.19,939000.00
VERIZON COMMUNICATIONS INC,Fixed Income,0.06,112.60,1131365.26,1131365.26,Communications,--,US92343VEU44,4.02,"Dec 03, 2029",2.56,2.53,8.12,1000000.00
BROOKFIELD FINANCE INC,Fixed Income,0.06,118.41,1127930.39,1127930.39,Brokerage/Asset Managers/Exchanges,BZ0WZL6,US11271LAB80,4.70,"Sep 20, 2047",3.64,3.63,16.01,940000.00
NORTHROP GRUMMAN CORP,Fixed Income,0.06,146.03,1127853.57,1127853.57,Capital Goods,2806239,US666807AW21,7.75,"Feb 15, 2031",2.87,2.87,8.01,755000.00
DP WORLD PLC MTN 144A,Fixed Income,0.06,132.24,1127097.73,1127097.73,Owned No Guarantee,B1ZB3P0,US23330JAA97,6.85,"Jul 02, 2037",4.22,4.22,11.17,850000.00
ARCHER DANIELS MIDLAND CO,Fixed Income,0.06,126.41,1126288.64,1126288.64,Consumer Non-Cyclical,BH31WX5,US039483BQ45,4.50,"Mar 15, 2049",3.11,3.10,17.17,880000.00
ROGERS COMMUNICATIONS INC,Fixed Income,0.06,114.12,1125010.90,1125010.90,Communications,BF17NG1,US775109BG57,4.30,"Feb 15, 2048",3.51,3.50,16.53,970000.00
CANADIAN NATURAL RESOURCES LTD,Fixed Income,0.06,131.17,1124731.77,1124731.77,Energy,2061469,US136385AE19,6.45,"Jun 30, 2033",3.52,3.52,9.63,855000.00
WALT DISNEY CO,Fixed Income,0.06,96.71,1124007.44,1124007.44,Communications,BKKK9P7,US254687FM36,2.75,"Sep 01, 2049",2.92,2.92,19.48,1150000.00
INTERNATIONAL PAPER CO,Fixed Income,0.06,142.30,1120396.76,1120396.76,Basic Industry,B3MDYN8,US460146CF85,7.30,"Nov 15, 2039",4.15,4.15,11.90,780000.00
ENTERPRISE PRODUCTS OPERATING LLC,Fixed Income,0.06,108.96,1119102.68,1119102.68,Energy,BFY1ZL9,US29379VBQ59,4.25,"Feb 15, 2048",3.73,3.73,16.35,1010000.00
PFIZER INC,Fixed Income,0.06,116.77,1118997.08,1118997.08,Consumer Non-Cyclical,BZ3FFJ0,US717081EC37,4.00,"Dec 15, 2036",2.75,2.75,12.59,955000.00
ELECTRICITE DE FRANCE SA 144A,Fixed Income,0.06,127.24,1117574.06,1117574.06,Owned No Guarantee,B604V44,US268317AE47,5.60,"Jan 27, 2040",3.67,3.67,12.70,860000.00
UNION PACIFIC CORPORATION,Fixed Income,0.06,113.09,1117314.31,1117314.31,Transportation,BYQGY30,US907818EG97,4.38,"Nov 15, 2065",3.77,3.77,20.43,981000.00
CENOVUS ENERGY INC,Fixed Income,0.06,130.22,1114787.82,1114787.82,Energy,B43X0M5,US15135UAF66,6.75,"Nov 15, 2039",4.44,4.44,11.95,848000.00
MICROSOFT CORP,Fixed Income,0.06,137.38,1114514.65,1114514.65,Technology,B4LFKX4,US594918AD65,5.20,"Jun 01, 2039",2.71,2.71,13.23,807000.00
MANULIFE FINANCIAL CORP,Fixed Income,0.06,135.44,1113662.37,1113662.37,Insurance,BYQ6504,US56501RAD89,5.38,"Mar 04, 2046",3.33,3.33,15.40,810000.00
PETROLEOS DEL PERU - PETROPERU SA 144A,Fixed Income,0.06,110.95,1113722.19,1113722.19,Owned No Guarantee,--,US716564AA72,4.75,"Jun 19, 2032",3.64,3.64,9.54,1000000.00
ALTRIA GROUP INC,Fixed Income,0.06,101.40,1110583.23,1110583.23,Consumer Non-Cyclical,B8K84P2,US02209SAM52,4.25,"Aug 09, 2042",4.15,4.15,14.21,1075000.00
ENCANA CORPORATION,Fixed Income,0.06,119.78,1109483.87,1109483.87,Energy,B02DZ90,US292505AD65,6.50,"Aug 15, 2034",4.62,4.62,9.72,905000.00
GEORGE WASHINGTON UNIVERSITY,Fixed Income,0.06,119.11,1106665.29,1106665.29,Industrial Other,BFMNWG1,US372546AW14,4.13,"Sep 15, 2048",3.11,3.10,17.31,918000.00
MCDONALDS CORPORATION MTN,Fixed Income,0.06,120.19,1106135.08,1106135.08,Consumer Cyclical,BY3R500,US58013MEV28,4.60,"May 26, 2045",3.40,3.39,15.58,915000.00
CANADIAN PACIFIC RAILWAY COMPANY,Fixed Income,0.06,128.08,1105815.19,1105815.19,Transportation,2514565,US13645RAE45,5.75,"Mar 15, 2033",3.13,3.13,9.62,850000.00
SUNCOR ENERGY INC,Fixed Income,0.06,141.76,1105101.20,1105101.20,Energy,B1Z7WM8,US867229AE68,6.50,"Jun 15, 2038",3.42,3.42,11.97,776000.00
MARATHON PETROLEUM CORP,Fixed Income,0.06,132.06,1103635.02,1103635.02,Energy,B6W1ZC9,US56585AAF93,6.50,"Mar 01, 2041",4.20,4.17,12.38,820000.00
PRAXAIR INC,Fixed Income,0.06,107.34,1102274.95,1102274.95,Basic Industry,B7XR437,US74005PBD50,3.55,"Nov 07, 2042",3.10,3.09,15.55,1020000.00
GEORGIA-PACIFIC CORPORATION,Fixed Income,0.06,156.78,1097758.43,1097758.43,Basic Industry,2755159,US373298BU13,8.88,"May 15, 2031",2.94,2.94,8.04,693000.00
BRIGHTHOUSE FINANCIAL INC,Fixed Income,0.06,95.13,1097349.12,1097349.12,Insurance,BD6TZ17,US10922NAF06,4.70,"Jun 22, 2047",5.03,5.03,14.85,1149000.00
LINCOLN NATIONAL CORPORATION,Fixed Income,0.06,112.27,1093997.47,1093997.47,Insurance,BFWZ8F8,US534187BG38,4.35,"Mar 01, 2048",3.65,3.64,16.39,960000.00
UNITED TECHNOLOGIES CORPORATION,Fixed Income,0.06,113.12,1093934.67,1093934.67,Capital Goods,BZ1JMC6,US913017CJ69,3.75,"Nov 01, 2046",3.03,3.02,17.11,960000.00
PACIFICORP,Fixed Income,0.06,137.22,1092807.43,1092807.43,Electric,B1Z2XW0,US695114CB21,6.10,"Aug 01, 2036",3.19,3.19,11.16,780000.00
ENERGY TRANSFER PARTNERS LP,Fixed Income,0.06,115.89,1092838.89,1092838.89,Energy,BYQ24Q1,US29273RBJ77,6.13,"Dec 15, 2045",5.02,5.01,13.66,938000.00
BROOKLYN UNION GAS CO 144A,Fixed Income,0.05,116.60,1092361.88,1092361.88,Natural Gas,BDF0DJ5,US114259AQ72,4.27,"Mar 15, 2048",3.36,3.35,16.77,925000.00
ONCOR ELECTRIC DELIVERY CO LLC,Fixed Income,0.05,134.06,1091820.67,1091820.67,Electric,B7ZBFD4,US68233JAS33,5.30,"Jun 01, 2042",3.16,3.14,14.13,810000.00
AMERICAN WATER CAPITAL CORP,Fixed Income,0.05,108.05,1089593.83,1089593.83,Utility Other,BDF0M54,US03040WAR60,3.75,"Sep 01, 2047",3.30,3.30,17.09,995000.00
TELEFONICA EMISIONES SAU,Fixed Income,0.05,116.59,1089529.83,1089529.83,Communications,BF2TMG9,US87938WAW38,4.89,"Mar 06, 2048",3.92,3.92,15.82,920000.00
INTERNATIONAL PAPER CO,Fixed Income,0.05,108.06,1088476.02,1088476.02,Basic Industry,BF037N5,US460146CS07,4.35,"Aug 15, 2048",3.88,3.88,16.28,990000.00
SOUTHERN PERU COPPER CORP,Fixed Income,0.05,136.89,1088547.87,1088547.87,Basic Industry,B57GT08,US84265VAE56,6.75,"Apr 16, 2040",4.06,4.06,12.24,785000.00
CVS HEALTH CORP,Fixed Income,0.05,122.39,1086687.07,1086687.07,Consumer Non-Cyclical,BH458J4,US126650CD09,5.30,"Dec 05, 2043",3.86,3.84,14.30,883000.00
KRAFT HEINZ FOODS CO 144A,Fixed Income,0.05,106.53,1086679.69,1086679.69,Consumer Non-Cyclical,--,US50077LAW63,4.63,"Oct 01, 2039",4.14,4.13,12.83,1006000.00
AT&T INC,Fixed Income,0.05,123.31,1086594.18,1086594.18,Communications,BGPNK83,US00206RFS67,5.30,"Aug 15, 2058",4.09,4.09,17.68,865000.00
EATON CORPORATION,Fixed Income,0.05,114.57,1085496.72,1085496.72,Capital Goods,BGLPFR7,US278062AE43,4.15,"Nov 02, 2042",3.24,3.24,15.08,940000.00
MARATHON OIL CORP,Fixed Income,0.05,117.83,1084733.31,1084733.31,Energy,BYYG272,US565849AM84,5.20,"Jun 01, 2045",4.07,4.05,14.70,915000.00
WISCONSIN PUBLIC SERVICE CORPORATI,Fixed Income,0.05,102.17,1082734.11,1082734.11,Electric,--,US976843BM39,3.30,"Sep 01, 2049",3.19,3.18,18.41,1045000.00
CSX CORP,Fixed Income,0.05,121.11,1079621.09,1079621.09,Transportation,--,US126408HP13,4.50,"Mar 15, 2049",3.36,3.35,16.92,880000.00
COMCAST CORPORATION,Fixed Income,0.05,150.65,1075616.99,1075616.99,Communications,B2444H6,US20030NAV38,6.95,"Aug 15, 2037",3.17,3.17,11.37,700000.00
LYONDELLBASELL INDUSTRIES NV,Fixed Income,0.05,108.47,1073531.86,1073531.86,Basic Industry,BW3SZD2,US552081AM30,4.63,"Feb 26, 2055",4.16,4.16,17.38,973000.00
AEROPUERTO INTERNACIONAL DE TOCUME 144A,Fixed Income,0.05,125.13,1072487.50,1072487.50,Owned No Guarantee,--,US00787CAC64,6.00,"Nov 18, 2048",4.06,4.06,12.06,850000.00
CHUBB INA HOLDINGS INC,Fixed Income,0.05,123.38,1069202.02,1069202.02,Insurance,BYSRKF5,US00440EAW75,4.35,"Nov 03, 2045",3.04,3.02,16.19,860000.00
BAYER US FINANCE II LLC 144A,Fixed Income,0.05,101.67,1068349.07,1068349.07,Consumer Non-Cyclical,BYVQZP4,US07274NBH52,4.70,"Jul 15, 2064",4.61,4.61,18.32,1050000.00
PRUDENTIAL FINANCIAL INC MTN,Fixed Income,0.05,137.99,1067072.02,1067072.02,Insurance,B1L6KD6,US74432QAQ82,5.70,"Dec 14, 2036",2.85,2.85,11.77,770000.00
GRUPO TELEVISA SAB,Fixed Income,0.05,108.50,1067112.56,1067112.56,Communications,BMJ71M4,US40049JBA43,5.00,"May 13, 2045",4.44,4.43,14.50,975000.00
CHARTER COMMUNICATIONS OPERATING L,Fixed Income,0.05,131.26,1066069.67,1066069.67,Communications,BD3JMW0,US161175BC79,6.83,"Oct 23, 2055",4.96,4.95,15.31,802000.00
CANADIAN NATURAL RESOURCES LTD MTN,Fixed Income,0.05,123.69,1064645.36,1064645.36,Energy,BF0P388,US136385AY72,4.95,"Jun 01, 2047",3.58,3.57,15.91,856000.00
BAYER US FINANCE II LLC 144A,Fixed Income,0.05,119.17,1063735.86,1063735.86,Consumer Non-Cyclical,BD103H7,US07274NAQ60,4.88,"Jun 25, 2048",3.77,3.76,16.18,890000.00
WALGREENS BOOTS ALLIANCE INC,Fixed Income,0.05,107.42,1063675.96,1063675.96,Consumer Cyclical,BSL6W84,US931427AB40,4.50,"Nov 18, 2034",3.84,3.82,10.77,983000.00
BANK OF AMERICA CORPORATION MTN,Fixed Income,0.05,142.20,1061935.08,1061935.08,Banking,B6T0187,US06051GEN51,5.88,"Feb 07, 2042",3.19,3.19,13.66,733000.00
INTERNATIONAL BUSINESS MACHINES CO,Fixed Income,0.05,123.50,1060329.76,1060329.76,Technology,BYN2GX5,US459200JH57,4.70,"Feb 19, 2046",3.34,3.34,15.79,845000.00
GENERAL MOTORS CO,Fixed Income,0.05,106.27,1059622.72,1059622.72,Consumer Cyclical,BSJX2S7,US37045VAH33,5.00,"Apr 01, 2035",4.43,4.43,10.66,983000.00
CITIGROUP INC,Fixed Income,0.05,137.07,1056387.50,1056387.50,Banking,7392227,US172967BL44,6.63,"Jun 15, 2032",3.02,3.02,9.10,767000.00
SHELL INTERNATIONAL FINANCE BV,Fixed Income,0.05,111.60,1056005.57,1056005.57,Energy,BD3RRJ6,US822582BY77,3.75,"Sep 12, 2046",3.11,3.11,17.02,935000.00
LYB INTERNATIONAL FINANCE BV,Fixed Income,0.05,114.19,1054629.17,1054629.17,Basic Industry,BK3NZG6,US50247VAC37,4.88,"Mar 15, 2044",3.96,3.95,14.45,910000.00
LYB INTERNATIONAL FINANCE BV,Fixed Income,0.05,118.81,1052222.40,1052222.40,Basic Industry,BCBR9Y0,US50247VAB53,5.25,"Jul 15, 2043",4.01,4.01,14.26,885000.00
TEACHERS INSURANCE AND ANNUITY ASS 144A,Fixed Income,0.05,125.63,1051906.73,1051906.73,Insurance,BQVC9R6,US878091BD86,4.90,"Sep 15, 2044",3.36,3.36,15.15,826000.00
STARBUCKS CORPORATION,Fixed Income,0.05,118.62,1051086.95,1051086.95,Consumer Cyclical,BFXV4P7,US855244AS84,4.50,"Nov 15, 2048",3.47,3.46,16.80,880000.00
MITSUBISHI UFJ FINANCIAL GROUP INC,Fixed Income,0.05,116.54,1050995.55,1050995.55,Banking,BJLRB76,US606822BE37,4.15,"Mar 07, 2039",3.01,3.01,13.45,890000.00
SINOPEC GROUP OVERSEAS DEVELOPMENT 144A,Fixed Income,0.05,110.81,1049399.79,1049399.79,Owned No Guarantee,--,US82938NAJ37,4.00,"Sep 13, 2047",3.39,3.39,16.89,935000.00
AMERICAN EXPRESS CO,Fixed Income,0.05,119.38,1049311.79,1049311.79,Banking,B968SP1,US025816BF52,4.05,"Dec 03, 2042",2.89,2.89,15.46,875000.00
PEPSICO INC,Fixed Income,0.05,125.27,1048402.72,1048402.72,Consumer Non-Cyclical,BZ30BC0,US713448DD75,4.45,"Apr 14, 2046",3.04,3.03,16.25,829000.00
HOME DEPOT INC,Fixed Income,0.05,114.15,1048036.54,1048036.54,Consumer Cyclical,BDGLXQ4,US437076BS00,3.90,"Jun 15, 2047",3.13,3.12,17.19,915000.00
GENERAL MOTORS CO,Fixed Income,0.05,107.42,1047073.37,1047073.37,Consumer Cyclical,BD93Q91,US37045VAQ32,5.40,"Apr 01, 2048",4.91,4.91,14.53,960000.00
NATIONWIDE FINANCIAL SERVICES INC 144A,Fixed Income,0.05,107.07,1044864.09,1044864.09,Insurance,--,US638612AM35,3.90,"Nov 30, 2049",3.52,3.51,17.63,970000.00
ENTERPRISE PRODUCTS OPERATING LLC,Fixed Income,0.05,120.60,1043854.96,1043854.96,Energy,BJT1608,US29379VBC63,5.10,"Feb 15, 2045",3.82,3.80,14.67,850000.00
NORTHROP GRUMMAN CORP,Fixed Income,0.05,123.44,1042464.03,1042464.03,Capital Goods,BB9ZSW0,US666807BH45,4.75,"Jun 01, 2043",3.30,3.30,14.91,840000.00
BELL TELEPHONE COMPANY OF CANADA O,Fixed Income,0.05,117.92,1042535.01,1042535.01,Communications,BFY0DB2,US0778FPAA77,4.46,"Apr 01, 2048",3.46,3.45,16.55,874000.00
NORFOLK SOUTHERN CORP,Fixed Income,0.05,121.78,1041504.33,1041504.33,Transportation,B6TW1K5,US655844BH01,4.84,"Oct 01, 2041",3.41,3.41,14.02,845000.00
ONEOK INC,Fixed Income,0.05,114.42,1040863.78,1040863.78,Energy,BFZZ811,US682680AV54,5.20,"Jul 15, 2048",4.32,4.31,15.49,909000.00
ENERGY TRANSFER PARTNERS LP,Fixed Income,0.05,106.81,1038898.72,1038898.72,Energy,BDHTRM1,US29273RBL24,5.30,"Apr 15, 2047",4.85,4.84,14.45,960000.00
CONTINENTAL RESOURCES INC,Fixed Income,0.05,105.60,1038381.81,1038381.81,Energy,BQS2JK2,US212015AQ46,4.90,"Jun 01, 2044",4.52,4.51,14.24,977000.00
INDONESIA ASAHAN ALUMINIUM PERSERO 144A,Fixed Income,0.05,128.50,1037885.24,1037885.24,Owned No Guarantee,--,US74445PAD42,6.76,"Nov 15, 2048",4.90,4.90,14.20,800000.00
PRUDENTIAL FINANCIAL INC,Fixed Income,0.05,110.55,1036973.56,1036973.56,Insurance,BG0KDC4,US744320AY89,3.90,"Dec 07, 2047",3.32,3.32,17.18,934000.00
ABBOTT LABORATORIES,Fixed Income,0.05,127.79,1036324.79,1036324.79,Consumer Non-Cyclical,BD6NWW9,US002824BN93,4.75,"Apr 15, 2043",3.07,3.05,14.81,803000.00
CENOVUS ENERGY INC,Fixed Income,0.05,112.10,1036155.88,1036155.88,Energy,BFNWDQ4,US15135UAP49,5.25,"Jun 15, 2037",4.26,4.24,11.59,920000.00
THERMO FISHER SCIENTIFIC INC,Fixed Income,0.05,115.50,1033166.77,1033166.77,Consumer Non-Cyclical,BF2K6Q0,US883556BY71,4.10,"Aug 15, 2047",3.25,3.24,16.77,881000.00
REYNOLDS AMERICAN INC,Fixed Income,0.05,133.41,1032858.44,1032858.44,Consumer Non-Cyclical,B1Z53M9,US761713AT36,7.25,"Jun 15, 2037",4.47,4.47,10.91,770000.00
ORACLE CORPORATION,Fixed Income,0.05,108.11,1032748.98,1032748.98,Technology,BWTM345,US68389XBD66,3.25,"May 15, 2030",2.36,2.34,8.68,950000.00
COMCAST CORPORATION,Fixed Income,0.05,143.86,1029873.34,1029873.34,Communications,B0PG8W0,US20030NAK72,6.50,"Nov 15, 2035",3.00,3.00,10.88,710000.00
